14 22
- - 34\ 7\ - - 10\ 4\ - - 31\ 16\ - - 14\ 17\ 3\ - 10\ 18\ 30\ 5\
- 30\12 0 0 - 24\11 0 0 - 4\9 0 0 12\ 16\19 0 0 0 \28 0 0 0 0
\19 0 0 0 16\11 0 0 0 21\38 0 0 0 0 0 0 0 0 6\11 0 0 0 0
\31 0 0 0 0 0 - 25\10 0 0 0 11\11 0 0 0 - 6\11 0 0 0 0 -
\16 0 0 3\8 0 0 \3 0 0 \17 0 0 17\4 0 0 31\6 0 0 17\3 0 0 6\
\17 0 0 0 0 8\ 5\15 0 0 12\23 0 0 0 0 34\4 0 0 7\16 0 0 0 0
- 21\ 29\28 0 0 0 0 0 0 0 21\5 0 0 3\17 0 0 4\9 0 0 \5 0 0
\5 0 0 - 3\23 0 0 0 0 0 0 19\23 0 0 0 0 0 0 12\ 8\9 0 0
\10 0 0 25\4 0 0 3\4 0 0 27\17 0 0 24\28 0 0 0 0 0 0 0 15\ 21\
\25 0 0 0 0 6\5 0 0 10\10 0 0 0 0 \16 0 0 - 8\21 0 0 0 0
- \4 0 0 7\3 0 0 \8 0 0 4\11 0 0 15\4 0 0 \4 0 0 6\6 0 0
- 9\14 0 0 0 0 12\ 3\13 0 0 0 3\20 0 0 0 4\ 11\15 0 0 0 0 0
\12 0 0 0 0 \38 0 0 0 0 0 0 0 0 \7 0 0 0 \6 0 0 0
\28 0 0 0 0 \6 0 0 0 - \11 0 0 - \12 0 0 - \4 0 0 -
