12 20
- - 30\ 13\ 15\ 25\ 16\ 21\ - - 22\ 3\ - - 15\ 7\ 4\ 3\ 33\ 16\
- 11\38 0 0 0 0 0 0 8\ \4 0 0 - \29 0 0 0 0 0 0
\39 0 0 0 0 0 0 0 0 32\3 0 0 15\ 13\22 0 0 0 0 0 0
\17 0 0 3\17 0 0 11\10 0 0 0 0 \10 0 0 0 0 - 4\3 0 0
\11 0 0 0 4\17 0 0 3\22 0 0 0 15\12 0 0 0 13\ \3 0 0 9\
- 9\ 29\3 0 0 3\3 0 0 10\28 0 0 0 0 7\5 0 0 3\11 0 0 0
\17 0 0 16\5 0 0 16\10 0 0 0 19\7 0 0 0 10\10 0 0 4\16 0 0
\17 0 0 0 \4 0 0 13\11 0 0 0 0 7\15 0 0 14\5 0 0 10\ 22\
- 16\8 0 0 - 8\14 0 0 0 \7 0 0 0 14\3 0 0 23\11 0 0 0
\4 0 0 4\ 3\10 0 0 0 0 9\13 0 0 0 0 3\16 0 0 13\6 0 0
\21 0 0 0 0 0 0 - \5 0 0 \39 0 0 0 0 0 0 0 0
\27 0 0 0 0 0 0 - \17 0 0 - \24 0 0 0 0 0 0 -
