12 20
- 16\ 28\ - 20\ 10\ 35\ - 24\ 13\ - - - 22\ 29\ - 14\ 9\ 28\ -
\14 0 0 \24 0 0 0 15\5 0 0 29\ 16\ \10 0 0 3\22 0 0 0 -
\13 0 0 \42 0 0 0 0 0 0 0 0 26\22 0 0 0 0 0 0 16\
\4 0 0 27\32 0 0 0 0 0 17\37 0 0 0 0 0 0 \17 0 0 0
\15 0 0 0 - 11\34 0 0 0 0 0 10\12 0 0 0 - 16\ 11\17 0 0
\7 0 0 0 4\3 0 0 26\ 13\21 0 0 0 0 0 38\ 5\8 0 0 22\ -
- \37 0 0 0 0 0 0 0 0 29\41 0 0 0 0 0 0 0 0 20\
- 16\ 15\12 0 0 - 14\22 0 0 0 0 0 28\ 6\13 0 0 \6 0 0 0
\17 0 0 8\ - 15\23 0 0 0 16\15 0 0 0 0 0 23\ 14\7 0 0 0
\11 0 0 0 4\34 0 0 0 0 0 0 7\28 0 0 0 0 0 \14 0 0
- \21 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 0 \5 0 0
- \7 0 0 0 \4 0 0 - - \15 0 0 \24 0 0 0 \12 0 0
