12 20
- - 23\ 6\ 3\ 37\ - 11\ 30\ - 29\ 30\ - 9\ 15\ - 5\ 12\ 22\ -
- 5\15 0 0 0 0 20\3 0 0 \7 0 0 12\16 0 0 4\11 0 0 0 -
\43 0 0 0 0 0 0 0 0 6\45 0 0 0 0 0 0 0 0 0 4\
\11 0 0 0 10\10 0 0 \17 0 0 0 0 0 10\3 0 0 - 6\12 0 0
- 4\ 10\ \8 0 0 0 10\23 0 0 0 0 39\4 0 0 - 27\7 0 0 0
\11 0 0 8\22 0 0 0 0 0 0 \21 0 0 0 16\ 28\11 0 0 10\ 4\
\36 0 0 0 0 0 0 0 0 18\ - 10\36 0 0 0 0 0 0 0 0
- 15\ 10\4 0 0 - 18\8 0 0 0 16\25 0 0 0 0 0 0 \3 0 0
\15 0 0 0 - 5\3 0 0 8\15 0 0 0 0 \7 0 0 0 7\ 9\ 9\
\7 0 0 3\ 9\3 0 0 8\15 0 0 0 0 0 14\13 0 0 3\6 0 0 0
- \45 0 0 0 0 0 0 0 0 0 \39 0 0 0 0 0 0 0 0
- \7 0 0 0 \16 0 0 \7 0 0 \6 0 0 \11 0 0 0 0 -
