12 16
- 28\ 17\ 10\ - - - 34\ 14\ 17\ - - - 17\ 35\ 11\
\21 0 0 0 12\ - 20\20 0 0 0 21\ - 14\20 0 0 0
\12 0 0 0 0 11\18 0 0 0 0 0 12\28 0 0 0 0
\11 0 0 35\30 0 0 0 0 \11 0 0 0 0 21\11 0 0
\23 0 0 0 7\8 0 0 0 \21 0 0 0 22\8 0 0 0
- \9 0 0 0 \17 0 0 \16 0 0 \18 0 0 0 -
- - 15\6 0 0 - 29\ 16\ - 28\ 15\ \16 0 0 16\ -
- 27\14 0 0 0 15\12 0 0 \10 0 0 16\8 0 0 0 27\
\22 0 0 0 4\22 0 0 0 \23 0 0 0 8\21 0 0 0
\13 0 0 5\14 0 0 0 0 13\14 0 0 0 0 14\10 0 0
\13 0 0 0 0 \18 0 0 0 0 0 \30 0 0 0 0
\8 0 0 0 - - \21 0 0 0 - - \9 0 0 0
