14 22
- - 24\ 11\ - - 24\ 17\ - 14\ 23\ - 16\ 43\ 28\ 19\ 12\ - 13\ 12\ 15\ 6\
- 15\17 0 0 - \16 0 0 34\16 0 0 \18 0 0 0 0 0 \11 0 0 0 0
\19 0 0 0 23\ 23\31 0 0 0 0 0 \32 0 0 0 0 0 3\27 0 0 0 0
\23 0 0 0 0 0 0 \11 0 0 0 17\ 3\20 0 0 0 0 0 3\ 19\4 0 0
\3 0 0 \9 0 0 0 16\7 0 0 7\30 0 0 0 0 0 12\10 0 0 0 0 -
\5 0 0 23\30 0 0 0 0 0 36\14 0 0 0 0 30\10 0 0 3\3 0 0 3\ 16\
- 5\ 10\10 0 0 4\ 13\15 0 0 0 0 - 7\5 0 0 \3 0 0 \10 0 0 0
\6 0 0 0 \11 0 0 \20 0 0 0 \16 0 0 0 9\11 0 0 11\17 0 0 0
\21 0 0 0 10\3 0 0 31\14 0 0 8\ 13\26 0 0 0 0 33\ 9\8 0 0 19\ 20\
- - 13\3 0 0 3\4 0 0 16\11 0 0 0 0 14\18 0 0 0 0 0 \13 0 0
- 20\26 0 0 0 0 11\28 0 0 0 0 0 16\4 0 0 \7 0 0 0 6\3 0 0
\12 0 0 9\ 13\31 0 0 0 0 0 8\ \7 0 0 0 7\21 0 0 0 0 0 0
\26 0 0 0 0 \16 0 0 0 0 0 \25 0 0 0 0 0 - \8 0 0 0
\10 0 0 0 0 \22 0 0 0 0 0 \17 0 0 \15 0 0 - \12 0 0 -
