12 16
- - - 21\ 23\ 14\ 12\ - - - 29\ 14\ 23\ 26\ - -
- - 28\29 0 0 0 0 27\ - 11\30 0 0 0 0 24\ -
- 10\35 0 0 0 0 0 0 \38 0 0 0 0 0 0 7\
\13 0 0 0 0 17\8 0 0 5\14 0 0 35\13 0 0 0 0
\19 0 0 0 23\29 0 0 0 0 0 0 0 6\20 0 0 0
\16 0 0 \8 0 0 \8 0 0 0 \6 0 0 \11 0 0
- 19\ 29\ \12 0 0 - 13\ 8\ 11\ \12 0 0 - 23\ 23\
\16 0 0 11\16 0 0 30\7 0 0 0 27\10 0 0 19\16 0 0
\8 0 0 0 21\36 0 0 0 0 0 0 0 6\23 0 0 0
\23 0 0 0 0 12\7 0 0 \5 0 0 13\13 0 0 0 0
- \38 0 0 0 0 0 0 \38 0 0 0 0 0 0 -
- - \29 0 0 0 0 - - \14 0 0 0 0 - -
