12 16
- 26\ 38\ - - 9\ 7\ - - 14\ 7\ - - 37\ 11\ 14\
\8 0 0 - 12\7 0 0 - 21\13 0 0 - 13\9 0 0 0
\16 0 0 16\6 0 0 0 10\9 0 0 0 5\29 0 0 0 0
\27 0 0 0 0 21\21 0 0 0 22\22 0 0 0 0 0 0
\32 0 0 0 0 0 11\11 0 0 0 7\11 0 0 0 0 -
\6 0 0 28\23 0 0 0 20\19 0 0 0 20\3 0 0 35\ -
- \5 0 0 10\9 0 0 0 26\9 0 0 0 27\17 0 0 16\
- - 28\13 0 0 14\19 0 0 0 4\21 0 0 0 9\14 0 0
- 10\13 0 0 0 0 23\19 0 0 0 7\22 0 0 0 0 0
\32 0 0 0 0 0 0 3\13 0 0 0 4\28 0 0 0 0
\27 0 0 0 0 \9 0 0 0 \6 0 0 0 \3 0 0
\11 0 0 0 - \11 0 0 - \4 0 0 - \8 0 0
