16 20
- - 14\ 17\ 20\ - - 6\ 7\ 28\ - 27\ 9\ 6\ - - 10\ 11\ 28\ -
- 24\21 0 0 0 - 10\9 0 0 0 \20 0 0 0 21\ \23 0 0 0 7\
\19 0 0 0 0 11\15 0 0 0 0 7\10 0 0 0 0 7\13 0 0 0 0
\16 0 0 26\27 0 0 0 0 24\17 0 0 0 11\15 0 0 0 0 16\5 0 0
\19 0 0 0 12\3 0 0 15\35 0 0 0 0 0 6\9 0 0 9\14 0 0 0
- - 34\11 0 0 0 17\17 0 0 15\ - 34\4 0 0 32\21 0 0 0 33\ -
- 10\24 0 0 0 21\13 0 0 0 0 23\22 0 0 0 0 6\8 0 0 0 6\
\7 0 0 0 \13 0 0 \16 0 0 0 0 0 \12 0 0 \9 0 0 0
\16 0 0 11\ \9 0 0 - 28\22 0 0 0 30\ \3 0 0 - 12\12 0 0
\9 0 0 0 13\7 0 0 9\34 0 0 0 0 0 14\10 0 0 15\11 0 0 0
- \15 0 0 0 11\27 0 0 0 0 \27 0 0 0 0 20\23 0 0 0 -
- 6\ 28\22 0 0 0 23\8 0 0 11\ 12\ 18\17 0 0 19\17 0 0 0 13\ 7\
\11 0 0 0 7\11 0 0 20\16 0 0 0 0 0 21\17 0 0 11\7 0 0 0
\7 0 0 4\12 0 0 0 0 9\20 0 0 0 7\10 0 0 0 0 12\3 0 0
\13 0 0 0 0 \28 0 0 0 0 \29 0 0 0 0 \27 0 0 0 0
- \14 0 0 0 - \13 0 0 0 \11 0 0 0 - \6 0 0 0 -
