16 20
- 23\ 22\ 8\ - - 29\ 4\ - - 29\ 10\ - - 18\ 15\ - - 12\ 27\
\12 0 0 0 - 9\8 0 0 - 14\6 0 0 - 11\17 0 0 - 9\8 0 0
\24 0 0 0 34\19 0 0 0 17\24 0 0 0 16\9 0 0 0 34\23 0 0 0
\16 0 0 12\19 0 0 0 4\18 0 0 0 14\22 0 0 0 8\10 0 0 0 0
- \8 0 0 0 5\9 0 0 0 16\20 0 0 0 14\10 0 0 0 12\11 0 0
- 10\ 21\17 0 0 0 32\10 0 0 0 35\18 0 0 0 21\24 0 0 0 16\ -
\8 0 0 4\21 0 0 0 17\22 0 0 0 4\8 0 0 0 11\16 0 0 0 29\
\12 0 0 0 0 14\23 0 0 0 3\12 0 0 0 3\9 0 0 0 8\6 0 0
\7 0 0 0 18\24 0 0 0 16\9 0 0 0 34\13 0 0 0 33\10 0 0 0
\13 0 0 16\15 0 0 0 9\8 0 0 0 4\19 0 0 0 14\30 0 0 0 0
- \11 0 0 0 15\6 0 0 0 16\19 0 0 0 4\22 0 0 0 3\12 0 0
- 12\ 26\17 0 0 0 12\21 0 0 0 27\8 0 0 0 10\9 0 0 0 16\ -
\15 0 0 12\23 0 0 0 14\22 0 0 0 7\9 0 0 0 17\9 0 0 0 7\
\13 0 0 0 0 6\13 0 0 0 3\23 0 0 0 12\21 0 0 0 4\13 0 0
\20 0 0 0 \11 0 0 0 \7 0 0 0 \20 0 0 0 \6 0 0 0
\3 0 0 - \3 0 0 - \7 0 0 - \4 0 0 - \7 0 0 0
