12 20
- - 10\ 9\ 22\ 13\ - - - 4\ 16\ - 17\ 10\ 33\ 22\ - - 42\ 22\
- 14\17 0 0 0 0 22\ - 16\12 0 0 23\28 0 0 0 0 - \16 0 0
\22 0 0 0 0 0 0 6\37 0 0 0 0 0 0 0 0 17\ 16\14 0 0
\16 0 0 4\26 0 0 0 0 0 \4 0 0 15\ \23 0 0 0 0 0 0
- 3\ 39\3 0 0 \14 0 0 14\ 27\6 0 0 0 8\35 0 0 0 0 0 -
\15 0 0 0 0 39\ - 5\4 0 0 \17 0 0 0 0 0 24\17 0 0 4\
\4 0 0 8\15 0 0 26\21 0 0 0 \24 0 0 0 \3 0 0 3\11 0 0
- \4 0 0 4\28 0 0 0 0 0 30\6 0 0 3\ 13\ \12 0 0 0 0
- 8\15 0 0 0 0 0 \9 0 0 0 - 16\11 0 0 7\4 0 0 8\ 11\
\22 0 0 0 0 0 0 7\ 17\12 0 0 9\25 0 0 0 0 0 9\4 0 0
\13 0 0 - \40 0 0 0 0 0 0 0 0 \24 0 0 0 0 0 0
\7 0 0 - \28 0 0 0 0 \17 0 0 - - \10 0 0 0 0 -
