12 20
- 4\ 3\ - 12\ 23\ - 17\ 13\ 41\ - 11\ 36\ - 15\ 28\ - - 7\ 3\
\3 0 0 10\7 0 0 \13 0 0 0 7\3 0 0 \5 0 0 3\ 29\4 0 0
\18 0 0 0 0 0 16\30 0 0 0 0 0 0 4\22 0 0 0 0 0 0
- - \15 0 0 0 0 6\21 0 0 0 41\25 0 0 0 0 0 0 13\ -
- - 10\8 0 0 11\14 0 0 33\40 0 0 0 0 0 0 0 4\9 0 0 14\
- 15\6 0 0 3\23 0 0 0 0 0 \3 0 0 - - 12\17 0 0 0 0
\7 0 0 10\11 0 0 - \4 0 0 \8 0 0 7\ 12\12 0 0 10\16 0 0
\15 0 0 0 0 11\ 13\ 9\11 0 0 6\22 0 0 0 0 0 10\4 0 0 -
- \5 0 0 4\29 0 0 0 0 0 0 0 19\15 0 0 6\3 0 0 - -
- 9\ 10\21 0 0 0 0 0 0 17\6 0 0 0 10\10 0 0 0 0 11\ 17\
\21 0 0 0 0 0 0 \28 0 0 0 0 0 0 \18 0 0 0 0 0
\16 0 0 - \4 0 0 \16 0 0 \24 0 0 0 \7 0 0 \16 0 0
