12 20
- 23\ 11\ 9\ 13\ - - 26\ 15\ - - 29\ 4\ 12\ - - 15\ 4\ 32\ -
\26 0 0 0 0 20\ \17 0 0 12\ \20 0 0 0 - 6\9 0 0 0 15\
\18 0 0 0 0 0 11\6 0 0 0 13\8 0 0 0 20\23 0 0 0 0 0
\17 0 0 16\ 3\31 0 0 0 0 0 0 0 27\6 0 0 0 - 12\5 0 0
- - 38\29 0 0 0 0 0 16\ 35\21 0 0 0 3\3 0 0 \21 0 0 0
- 35\26 0 0 0 0 27\ 15\13 0 0 \21 0 0 0 0 32\ \6 0 0 0
\14 0 0 4\ \31 0 0 0 0 0 \32 0 0 0 0 0 15\ 4\12 0 0
\19 0 0 0 - 17\12 0 0 0 0 16\4 0 0 15\ 6\12 0 0 0 0 -
\18 0 0 0 \8 0 0 7\23 0 0 0 8\ 6\22 0 0 0 0 0 20\ 8\
\6 0 0 6\ 17\20 0 0 0 12\41 0 0 0 0 0 0 0 13\ 7\14 0 0
\32 0 0 0 0 0 \7 0 0 0 \7 0 0 0 \30 0 0 0 0 0
- \13 0 0 0 - \12 0 0 0 - \5 0 0 - \10 0 0 0 0
