12 20
- 9\ 29\ 26\ 17\ 6\ - 10\ 14\ - - 29\ 16\ - 18\ 3\ 24\ - 8\ 3\
\35 0 0 0 0 0 \16 0 0 - 4\8 0 0 4\9 0 0 0 \3 0 0
\19 0 0 0 0 0 7\6 0 0 14\34 0 0 0 0 0 0 0 3\5 0 0
\9 0 0 0 - 4\3 0 0 15\15 0 0 0 26\10 0 0 5\6 0 0 0 -
- 20\4 0 0 \3 0 0 3\6 0 0 \8 0 0 - \6 0 0 0 36\ 19\
\7 0 0 0 24\10 0 0 0 0 23\ \14 0 0 8\ \13 0 0 22\3 0 0
\24 0 0 0 0 7\ \6 0 0 0 \24 0 0 0 13\ 4\14 0 0 0 0
\14 0 0 6\15 0 0 - \6 0 0 - 5\12 0 0 0 0 \13 0 0 0
- - 12\7 0 0 0 9\ 3\8 0 0 7\3 0 0 12\6 0 0 \11 0 0 6\
- 7\6 0 0 0 4\4 0 0 16\8 0 0 0 9\3 0 0 8\ 13\12 0 0 0
\3 0 0 \28 0 0 0 0 0 0 0 \3 0 0 \19 0 0 0 0 0
\15 0 0 \7 0 0 0 \17 0 0 - \17 0 0 \33 0 0 0 0 0
