14 22
- 15\ 26\ 5\ 28\ - - 18\ 16\ - - 29\ 10\ 17\ 20\ - - 30\ 4\ 32\ 16\ 22\
\14 0 0 0 0 15\ 11\17 0 0 16\ \14 0 0 0 0 - 8\16 0 0 0 0 0
\45 0 0 0 0 0 0 0 0 0 38\27 0 0 0 0 31\31 0 0 0 0 0 0
\3 0 0 11\15 0 0 0 0 16\28 0 0 0 0 20\24 0 0 0 0 17\24 0 0 0
\28 0 0 0 0 6\21 0 0 0 \19 0 0 0 0 12\34 0 0 0 0 0 - -
- - \11 0 0 0 11\9 0 0 18\5 0 0 38\23 0 0 0 \24 0 0 0 4\ 12\
- 17\ 3\17 0 0 0 0 15\ \28 0 0 0 0 0 0 0 12\ - 31\ 22\4 0 0
\16 0 0 0 0 \3 0 0 4\11 0 0 21\17 0 0 \4 0 0 5\23 0 0 0 0
\9 0 0 24\ 16\ 17\ \34 0 0 0 0 0 0 0 17\ 19\15 0 0 0 0 - -
- - \10 0 0 0 21\7 0 0 0 10\4 0 0 \9 0 0 6\21 0 0 0 13\ 19\
- 6\ 12\34 0 0 0 0 0 7\11 0 0 0 0 9\12 0 0 0 3\11 0 0 0 0
\8 0 0 0 16\11 0 0 0 0 3\14 0 0 0 0 8\11 0 0 0 0 6\3 0 0
\38 0 0 0 0 0 0 \11 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\20 0 0 0 0 0 - \13 0 0 0 0 - \16 0 0 - \12 0 0 0 0
