14 22
- 11\ 40\ - 24\ 4\ 3\ - 35\ 16\ - 31\ 19\ - 39\ 4\ - 45\ 17\ - 29\ 24\
\3 0 0 14\12 0 0 0 \8 0 0 41\3 0 0 13\11 0 0 \9 0 0 5\13 0 0
\30 0 0 0 0 0 0 23\42 0 0 0 0 0 0 0 0 15\26 0 0 0 0 0
- 7\23 0 0 0 - 7\17 0 0 \19 0 0 0 0 0 \4 0 0 3\21 0 0 0
\8 0 0 - 6\ 45\16 0 0 0 \17 0 0 40\16 0 0 \7 0 0 0 \14 0 0
\12 0 0 \33 0 0 0 0 0 5\20 0 0 0 0 0 17\10 0 0 0 10\ 36\ -
\4 0 0 17\3 0 0 23\ 7\31 0 0 0 0 0 16\29 0 0 0 0 21\3 0 0 -
- \23 0 0 0 0 0 0 29\13 0 0 39\8 0 0 38\37 0 0 0 0 0 0 15\
- \16 0 0 5\30 0 0 0 0 24\34 0 0 0 0 0 24\ 16\17 0 0 \16 0 0
- 13\ 10\ \21 0 0 0 \16 0 0 0 0 0 \32 0 0 0 0 0 \7 0 0
\3 0 0 4\7 0 0 0 \13 0 0 24\16 0 0 \23 0 0 0 - 19\ 16\10 0 0
\6 0 0 0 3\7 0 0 16\19 0 0 0 0 0 3\12 0 0 10\ 5\24 0 0 0 16\
\16 0 0 0 0 0 \43 0 0 0 0 0 0 0 0 \26 0 0 0 0 0 0
\5 0 0 \4 0 0 \17 0 0 \16 0 0 \11 0 0 \21 0 0 0 \8 0 0
