14 22
- - - 9\ 4\ - - 33\ 12\ 3\ 23\ - - 29\ 10\ - 22\ 22\ 16\ 17\ 25\ 5\
- 23\ 39\6 0 0 25\ \13 0 0 0 0 3\ 4\6 0 0 \22 0 0 0 0 0 0
\19 0 0 0 0 0 7\39 0 0 0 0 0 0 0 0 7\38 0 0 0 0 0 0
\9 0 0 0 \11 0 0 0 0 16\39 0 0 0 0 0 0 0 0 6\8 0 0 4\
\12 0 0 14\ 4\20 0 0 0 0 0 20\ 14\ 18\12 0 0 0 6\9 0 0 4\12 0 0
\42 0 0 0 0 0 0 0 \28 0 0 0 0 28\ 15\5 0 0 16\14 0 0 0 0
\18 0 0 0 0 7\ 14\ - 4\25 0 0 0 0 0 0 \15 0 0 0 0 37\ 23\
\17 0 0 6\ 6\15 0 0 \7 0 0 0 9\9 0 0 0 \8 0 0 5\ 7\9 0 0
- 4\ 17\10 0 0 0 0 12\32 0 0 0 0 0 0 - 15\ 7\ 13\11 0 0 0 0
\10 0 0 0 0 13\3 0 0 29\ 11\16 0 0 0 0 29\42 0 0 0 0 0 0 0
\3 0 0 6\4 0 0 6\10 0 0 0 13\ 14\ 7\20 0 0 0 0 0 - 18\3 0 0
- 5\6 0 0 15\41 0 0 0 0 0 0 0 0 3\12 0 0 0 0 4\22 0 0 0
\25 0 0 0 0 0 0 \40 0 0 0 0 0 0 0 0 \21 0 0 0 0 0
\21 0 0 0 0 0 0 \6 0 0 - \14 0 0 0 0 - \3 0 0 - -
