12 20
- 8\ 27\ 22\ 6\ - 38\ 16\ - - - - - 16\ 7\ - 31\ 9\ 17\ 33\
\17 0 0 0 0 \17 0 0 3\ 27\ 19\ - 34\9 0 0 23\29 0 0 0 0
\27 0 0 0 0 10\28 0 0 0 0 0 14\39 0 0 0 0 0 0 0 0
- 11\20 0 0 0 0 0 29\32 0 0 0 0 0 - \18 0 0 0 0 0
\4 0 0 10\ \9 0 0 0 30\11 0 0 0 0 24\ 30\12 0 0 10\12 0 0
\22 0 0 0 26\34 0 0 0 0 0 - \22 0 0 0 29\22 0 0 0 0
- 16\ 33\22 0 0 0 0 0 0 - - 26\28 0 0 0 0 0 0 21\ 11\
\17 0 0 0 0 6\24 0 0 0 13\ 20\34 0 0 0 0 0 \23 0 0 0
\13 0 0 22\4 0 0 - \10 0 0 0 0 4\9 0 0 0 24\ 23\4 0 0
\15 0 0 0 0 0 11\ 9\27 0 0 0 0 0 9\28 0 0 0 0 0 15\
\39 0 0 0 0 0 0 0 0 \26 0 0 0 0 0 \30 0 0 0 0
\25 0 0 0 0 \17 0 0 - - - - \17 0 0 \26 0 0 0 0
