12 20
- 37\ 30\ 16\ - - 3\ 13\ - 38\ 15\ 19\ 6\ - - 20\ 16\ 10\ 10\ 18\
\24 0 0 0 6\ 10\11 0 0 \12 0 0 0 0 16\ \18 0 0 0 0 0
\32 0 0 0 0 0 0 0 4\25 0 0 0 0 0 9\34 0 0 0 0 0
\16 0 0 \4 0 0 3\ 11\7 0 0 \25 0 0 0 0 0 16\ 26\4 0 0
\3 0 0 15\ 10\18 0 0 0 0 0 7\ - 5\16 0 0 17\27 0 0 0 0
\11 0 0 0 0 12\11 0 0 3\9 0 0 21\3 0 0 \11 0 0 0 33\ 22\
\32 0 0 0 0 0 - 10\19 0 0 0 0 0 3\ 12\35 0 0 0 0 0
- 10\ 21\7 0 0 0 6\3 0 0 \6 0 0 3\4 0 0 6\23 0 0 0 0
\13 0 0 0 0 14\4 0 0 20\ 10\ \19 0 0 0 0 0 5\ \3 0 0
\3 0 0 3\ 4\23 0 0 0 0 0 13\7 0 0 14\ 8\3 0 0 5\6 0 0
\20 0 0 0 0 0 \34 0 0 0 0 0 \28 0 0 0 0 0 0 0
\16 0 0 0 0 0 - \11 0 0 0 0 \16 0 0 - \8 0 0 0
