14 22
- 5\ 8\ 16\ - - - 5\ 30\ - 4\ 8\ 10\ 41\ 17\ 3\ - - - 10\ 33\ 4\
\6 0 0 0 10\ - 31\13 0 0 \29 0 0 0 0 0 0 30\ - 12\19 0 0 0
\11 0 0 0 0 14\7 0 0 0 7\28 0 0 0 0 0 0 0 8\10 0 0 0 0
- 7\ 16\10 0 0 0 0 \4 0 0 - \7 0 0 0 29\30 0 0 0 0 0 7\
\37 0 0 0 0 0 0 \12 0 0 - \3 0 0 3\19 0 0 0 - \9 0 0
\7 0 0 0 \11 0 0 25\3 0 0 22\ 6\ 13\26 0 0 0 0 0 14\ 8\3 0 0
\13 0 0 9\ 13\15 0 0 0 0 42\24 0 0 0 0 0 0 23\ \13 0 0 0 0
- 7\ 25\5 0 0 \3 0 0 16\24 0 0 0 0 0 22\13 0 0 15\16 0 0 23\ 11\
\26 0 0 0 0 23\ 14\38 0 0 0 0 0 0 23\10 0 0 0 0 - 30\16 0 0
\12 0 0 - \30 0 0 0 0 0 14\ - \8 0 0 \15 0 0 8\11 0 0 0
\5 0 0 24\ 7\21 0 0 0 10\17 0 0 - \16 0 0 \21 0 0 0 0 0 0
- 5\33 0 0 0 0 0 3\6 0 0 0 16\ 10\12 0 0 12\12 0 0 0 0 14\ 16\
\14 0 0 0 0 \28 0 0 0 0 0 0 0 \20 0 0 0 \27 0 0 0 0
\10 0 0 0 - - \26 0 0 0 0 0 0 \4 0 0 - - \23 0 0 0
