14 22
- 16\ 24\ - 15\ 23\ 22\ 7\ - - 17\ 16\ 5\ 16\ 28\ 4\ - - - 4\ 42\ -
\13 0 0 \29 0 0 0 0 - 10\31 0 0 0 0 0 0 34\ - 10\12 0 0 21\
\5 0 0 \12 0 0 0 0 11\37 0 0 0 0 0 0 0 0 8\10 0 0 0 0
\14 0 0 14\14 0 0 0 41\3 0 0 9\ - 13\3 0 0 28\23 0 0 0 \16 0 0
\16 0 0 0 0 10\30 0 0 0 0 0 4\24 0 0 0 0 0 0 17\ 3\14 0 0
\8 0 0 0 11\14 0 0 0 0 9\28 0 0 0 0 0 0 0 \15 0 0 0 4\
- 16\ 32\ \10 0 0 0 0 31\26 0 0 0 0 9\8 0 0 0 23\10 0 0 0 0
\17 0 0 3\4 0 0 18\18 0 0 0 16\ 7\ 10\11 0 0 0 22\9 0 0 \11 0 0
\13 0 0 0 0 \9 0 0 0 32\29 0 0 0 0 6\13 0 0 0 0 3\ 15\ 34\
- 11\10 0 0 0 17\36 0 0 0 0 0 0 0 23\16 0 0 0 0 18\9 0 0 0
\17 0 0 - 5\26 0 0 0 0 0 0 \20 0 0 0 0 0 11\13 0 0 0 0
\4 0 0 4\11 0 0 0 6\3 0 0 3\ 7\ 16\8 0 0 4\8 0 0 0 \12 0 0
\14 0 0 0 0 \37 0 0 0 0 0 0 0 0 \11 0 0 0 0 \14 0 0
- \3 0 0 - - \34 0 0 0 0 0 0 - \27 0 0 0 0 \6 0 0
