12 20
- - - - 25\ 9\ - - 8\ 14\ - 9\ 15\ 33\ 19\ 18\ 6\ - 30\ 19\
- - 21\ 12\17 0 0 10\ 15\6 0 0 \28 0 0 0 0 0 0 8\7 0 0
- 11\39 0 0 0 0 0 0 0 0 4\45 0 0 0 0 0 0 0 0 0
\27 0 0 0 0 8\3 0 0 22\ 28\6 0 0 35\24 0 0 0 3\10 0 0 0
\4 0 0 \28 0 0 0 0 0 0 0 29\17 0 0 17\10 0 0 3\16 0 0
\13 0 0 16\4 0 0 16\ \17 0 0 \30 0 0 0 0 7\3 0 0 25\ 26\
\10 0 0 0 6\14 0 0 16\9 0 0 \17 0 0 \9 0 0 15\9 0 0 0
- 29\ 10\14 0 0 11\14 0 0 0 0 3\12 0 0 24\ 7\3 0 0 \4 0 0
\8 0 0 3\3 0 0 8\7 0 0 16\28 0 0 0 0 0 0 0 9\16 0 0
\12 0 0 0 3\6 0 0 0 10\3 0 0 13\ 3\12 0 0 8\27 0 0 0 0
\45 0 0 0 0 0 0 0 0 0 \37 0 0 0 0 0 0 0 0 -
\7 0 0 \21 0 0 0 0 0 0 \11 0 0 - \3 0 0 - - -
