12 20
- 9\ 19\ - - 21\ 17\ 7\ 11\ - 17\ 34\ - 4\ 15\ 35\ - 12\ 17\ 3\
\15 0 0 11\ 14\10 0 0 0 0 \9 0 0 3\6 0 0 0 \11 0 0 0
\40 0 0 0 0 0 0 0 0 17\26 0 0 0 0 0 0 17\15 0 0 0
\25 0 0 0 0 0 0 16\16 0 0 4\11 0 0 3\16 0 0 0 0 11\ -
- \4 0 0 3\ 29\14 0 0 16\14 0 0 0 8\23 0 0 0 0 0 0 16\
- 17\ 6\6 0 0 0 \8 0 0 22\24 0 0 0 0 0 0 3\ \9 0 0
\9 0 0 \4 0 0 28\ 13\14 0 0 12\8 0 0 4\ \6 0 0 24\17 0 0
\11 0 0 27\ 13\28 0 0 0 0 0 0 3\6 0 0 29\15 0 0 0 11\ -
- \33 0 0 0 0 0 0 4\6 0 0 0 24\12 0 0 13\ 14\14 0 0 11\
- 4\ 10\29 0 0 0 0 7\5 0 0 16\11 0 0 8\22 0 0 0 0 0 0
\6 0 0 0 \28 0 0 0 0 0 0 \38 0 0 0 0 0 0 0 0
\20 0 0 0 \23 0 0 0 \8 0 0 \29 0 0 0 0 - \8 0 0
