12 20
- 11\ 23\ - 19\ 6\ - 17\ 19\ - - - 13\ 29\ 33\ 14\ 22\ - 39\ 15\
\7 0 0 6\4 0 0 7\3 0 0 - - 9\16 0 0 0 0 0 7\5 0 0
\42 0 0 0 0 0 0 0 0 27\ 16\45 0 0 0 0 0 0 0 0 0
\10 0 0 0 0 7\39 0 0 0 0 0 0 28\14 0 0 3\26 0 0 0 0
\13 0 0 4\9 0 0 0 39\ 27\17 0 0 \41 0 0 0 0 0 0 0 0
- - 22\7 0 0 0 \23 0 0 0 - 11\26 0 0 0 0 - 3\13 0 0
- 24\4 0 0 - 17\ 15\9 0 0 0 \7 0 0 0 - 3\ 21\7 0 0 -
\3 0 0 9\ 29\28 0 0 0 0 - 14\16 0 0 0 9\6 0 0 0 10\ 29\
\38 0 0 0 0 0 0 0 0 16\6 0 0 7\ 6\6 0 0 0 12\7 0 0
\30 0 0 0 0 7\6 0 0 8\26 0 0 0 0 0 0 17\28 0 0 0 0
\45 0 0 0 0 0 0 0 0 0 - \38 0 0 0 0 0 0 0 0
\10 0 0 \26 0 0 0 0 0 - - \4 0 0 \9 0 0 \10 0 0
