14 22
- 3\ 7\ 20\ - 12\ 4\ 28\ 10\ - 3\ 4\ 7\ 13\ - 20\ 16\ - - 4\ 30\ -
\6 0 0 0 8\10 0 0 0 0 \10 0 0 0 0 6\4 0 0 - 5\3 0 0 3\
\39 0 0 0 0 0 0 0 0 15\36 0 0 0 0 0 0 0 17\10 0 0 0 0
- 16\ 7\16 0 0 - 30\11 0 0 0 8\ - 26\ 10\23 0 0 0 0 0 6\11 0 0
\14 0 0 8\ - 17\30 0 0 0 0 0 15\7 0 0 17\ 16\16 0 0 15\4 0 0 7\
\10 0 0 0 26\8 0 0 - 15\39 0 0 0 0 0 0 0 - \16 0 0 0 0
- 6\ 32\30 0 0 0 0 \3 0 0 12\4 0 0 15\12 0 0 23\ 6\10 0 0 0 0
\3 0 0 11\19 0 0 0 4\31 0 0 0 0 0 0 0 \18 0 0 0 4\6 0 0
\25 0 0 0 0 - \12 0 0 6\4 0 0 9\4 0 0 \10 0 0 0 0 7\ 3\
\14 0 0 0 0 5\ 14\28 0 0 0 0 0 0 0 13\ 29\8 0 0 \7 0 0 0
- 3\6 0 0 4\4 0 0 15\ 10\3 0 0 \17 0 0 0 0 0 - 5\ 14\4 0 0
\11 0 0 13\19 0 0 0 0 0 5\ 16\ 9\ 8\8 0 0 0 3\ 5\13 0 0 7\ 10\
\21 0 0 0 0 \28 0 0 0 0 0 0 0 \36 0 0 0 0 0 0 0 0
- \5 0 0 - \16 0 0 \16 0 0 0 0 \15 0 0 0 0 \7 0 0 0
