14 22
- 8\ 15\ 23\ 4\ 6\ 13\ - - 6\ 15\ - - 15\ 8\ - 15\ 3\ - - 41\ 19\
\24 0 0 0 0 0 0 9\ \12 0 0 - 35\14 0 0 29\11 0 0 - 4\16 0 0
\29 0 0 0 0 0 0 0 21\3 0 0 \21 0 0 0 0 0 0 \6 0 0 0
- 16\3 0 0 11\ 16\15 0 0 0 0 0 7\15 0 0 0 0 8\ 4\ 14\7 0 0 0
\20 0 0 0 0 0 13\15 0 0 12\7 0 0 0 - \26 0 0 0 0 10\13 0 0
\8 0 0 21\15 0 0 0 17\11 0 0 39\15 0 0 21\ 16\29 0 0 0 0 0 0 0
- - 42\19 0 0 0 0 0 10\4 0 0 \18 0 0 0 3\ - 19\ 12\7 0 0 -
- \28 0 0 0 0 \30 0 0 0 0 \14 0 0 0 0 3\13 0 0 0 0 -
- 21\17 0 0 3\ 16\ 7\ 24\7 0 0 0 6\16 0 0 9\22 0 0 0 0 0 21\ 6\
\28 0 0 0 0 0 0 0 - \14 0 0 22\6 0 0 10\7 0 0 0 11\3 0 0
\4 0 0 16\16 0 0 0 0 17\ 7\6 0 0 0 8\3 0 0 12\15 0 0 0 0 0
\15 0 0 0 - 14\ 16\28 0 0 0 0 \32 0 0 0 0 0 10\ 4\3 0 0 13\
\23 0 0 0 \36 0 0 0 0 0 0 \14 0 0 \34 0 0 0 0 0 0 0
\16 0 0 - \16 0 0 \3 0 0 - \3 0 0 - \21 0 0 0 0 0 0
