14 22
- 6\ 22\ 13\ 16\ - 15\ 19\ - 6\ 12\ - - 5\ 12\ - - 32\ 12\ 8\ - -
\14 0 0 0 0 16\4 0 0 \14 0 0 - \13 0 0 6\ 10\7 0 0 0 29\ -
\41 0 0 0 0 0 0 0 22\3 0 0 14\ 31\38 0 0 0 0 0 0 0 0 8\
\6 0 0 4\19 0 0 0 0 0 33\7 0 0 0 28\12 0 0 0 0 38\7 0 0 0
- \12 0 0 21\3 0 0 \15 0 0 \23 0 0 0 \13 0 0 0 0 8\5 0 0
- 3\ 32\11 0 0 0 0 16\3 0 0 21\8 0 0 0 33\ \23 0 0 0 0 0 0
\11 0 0 13\5 0 0 \42 0 0 0 0 0 0 0 0 3\ - \22 0 0 0 15\
\12 0 0 0 0 - \14 0 0 0 0 16\11 0 0 0 0 - 24\21 0 0 0 0
- 6\7 0 0 0 28\ 15\ \37 0 0 0 0 0 0 0 0 15\8 0 0 4\7 0 0
\21 0 0 0 0 0 0 7\ \6 0 0 0 \14 0 0 \21 0 0 0 0 25\ -
\4 0 0 11\11 0 0 0 0 12\9 0 0 0 11\6 0 0 19\5 0 0 20\12 0 0 7\
\8 0 0 0 5\14 0 0 0 0 16\16 0 0 0 16\33 0 0 0 0 0 3\4 0 0
- \40 0 0 0 0 0 0 0 0 - \9 0 0 \41 0 0 0 0 0 0 0
- - \21 0 0 0 - \17 0 0 - \17 0 0 \4 0 0 \11 0 0 0 0
