12 20
- 13\ 21\ 12\ - 34\ 27\ 19\ 6\ 15\ - 19\ 9\ - - 23\ 23\ - 22\ 16\
\20 0 0 0 15\16 0 0 0 0 0 \16 0 0 15\ 25\7 0 0 3\9 0 0
\45 0 0 0 0 0 0 0 0 0 3\45 0 0 0 0 0 0 0 0 0
\4 0 0 \25 0 0 0 0 - 4\3 0 0 14\24 0 0 0 0 0 0 6\
\16 0 0 3\19 0 0 0 - 25\28 0 0 0 0 0 0 0 - \3 0 0
- 6\ 24\13 0 0 0 23\ 15\11 0 0 \15 0 0 0 0 0 31\ 5\4 0 0
\12 0 0 0 0 30\7 0 0 0 29\ - 16\10 0 0 0 18\10 0 0 0 0
\3 0 0 - \21 0 0 0 0 0 4\17 0 0 - 23\21 0 0 0 25\ 10\
\12 0 0 4\ 24\42 0 0 0 0 0 0 0 - 13\21 0 0 0 \13 0 0
- 3\23 0 0 0 0 0 0 5\8 0 0 14\ 13\27 0 0 0 0 7\6 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\4 0 0 \8 0 0 - \13 0 0 \16 0 0 0 0 0 \7 0 0 0
