12 20
- 8\ 27\ 6\ 16\ - 3\ 16\ - - 16\ 7\ 17\ 15\ 23\ 15\ - 14\ 18\ -
\27 0 0 0 0 \9 0 0 11\ \38 0 0 0 0 0 0 38\6 0 0 -
\10 0 0 0 0 16\12 0 0 0 33\45 0 0 0 0 0 0 0 0 0 16\
- 9\10 0 0 0 0 10\ 10\4 0 0 - \24 0 0 0 0 0 6\14 0 0
\5 0 0 - 21\20 0 0 0 0 0 23\ 27\14 0 0 16\ \21 0 0 0 0
\17 0 0 6\42 0 0 0 0 0 0 0 0 \5 0 0 29\12 0 0 27\ -
- \15 0 0 0 0 0 25\ \22 0 0 0 21\ 16\19 0 0 0 0 0 12\
- 9\ 18\3 0 0 \3 0 0 11\36 0 0 0 0 0 0 0 0 \16 0 0
\10 0 0 0 0 11\ 7\3 0 0 - \32 0 0 0 0 0 23\ 10\4 0 0
\16 0 0 3\16 0 0 0 0 0 11\ 14\17 0 0 16\ 9\22 0 0 0 0 7\
- \45 0 0 0 0 0 0 0 0 0 \17 0 0 0 \14 0 0 0 0
- \5 0 0 \25 0 0 0 0 0 0 - \17 0 0 \30 0 0 0 0
