12 20
- 9\ 15\ - 12\ 14\ - 21\ 11\ 4\ - 11\ 43\ - 9\ 8\ 14\ - 27\ 15\
\17 0 0 \16 0 0 22\20 0 0 0 \3 0 0 35\23 0 0 0 10\7 0 0
\3 0 0 10\23 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- \6 0 0 0 11\17 0 0 36\ 23\ 3\18 0 0 0 5\ - 14\3 0 0 11\
- \4 0 0 10\6 0 0 21\30 0 0 0 0 0 0 0 19\10 0 0 0 0
- 22\ 35\12 0 0 0 \12 0 0 0 0 23\34 0 0 0 0 0 10\4 0 0
\18 0 0 0 0 0 13\17 0 0 0 14\22 0 0 0 \26 0 0 0 0 0
\6 0 0 7\29 0 0 0 0 0 11\21 0 0 0 0 11\6 0 0 0 18\ -
\18 0 0 0 0 \28 0 0 0 0 0 0 0 7\16 0 0 8\4 0 0 -
- 7\9 0 0 14\ 4\ 7\10 0 0 0 - 3\ 5\3 0 0 16\7 0 0 0 7\
\45 0 0 0 0 0 0 0 0 0 \24 0 0 0 0 0 0 \3 0 0
\15 0 0 \8 0 0 0 \7 0 0 \6 0 0 0 \9 0 0 \15 0 0
