14 22
- - 10\ 14\ 12\ - 23\ 22\ 4\ - 27\ 4\ 3\ - - 30\ 9\ - - 13\ 45\ 26\
- 7\6 0 0 0 \7 0 0 0 \13 0 0 0 14\ \15 0 0 25\ 10\7 0 0 0
\29 0 0 0 0 35\13 0 0 0 22\11 0 0 0 0 41\41 0 0 0 0 0 0 0
\6 0 0 0 10\10 0 0 0 40\12 0 0 - \24 0 0 0 0 0 0 21\11 0 0
- 6\ 45\44 0 0 0 0 0 0 0 0 12\ 3\ \16 0 0 \33 0 0 0 0 0
\4 0 0 \22 0 0 0 0 0 0 \4 0 0 39\3 0 0 4\22 0 0 0 0 -
\6 0 0 \6 0 0 3\12 0 0 0 \28 0 0 0 0 0 0 19\ 12\6 0 0 7\
\12 0 0 8\14 0 0 0 24\4 0 0 14\ 4\ \17 0 0 23\6 0 0 0 \8 0 0
- \4 0 0 11\ 10\24 0 0 0 0 0 0 \8 0 0 0 35\3 0 0 \11 0 0
- 10\11 0 0 0 0 \3 0 0 \12 0 0 16\38 0 0 0 0 0 0 28\12 0 0
\17 0 0 0 0 0 23\10 0 0 17\ - \42 0 0 0 0 0 0 0 0 8\ 10\
\10 0 0 13\38 0 0 0 0 0 0 12\ 4\5 0 0 7\14 0 0 0 12\19 0 0 0
\35 0 0 0 0 0 0 0 \14 0 0 0 0 \10 0 0 0 \10 0 0 0 0
\7 0 0 0 - \16 0 0 - \16 0 0 0 \23 0 0 0 \22 0 0 0 -
