14 22
- 35\ 27\ - 12\ 6\ - 23\ 37\ 17\ - 34\ 18\ - 11\ 19\ - 5\ 9\ 32\ 27\ -
\6 0 0 22\4 0 0 \21 0 0 0 20\6 0 0 \3 0 0 29\28 0 0 0 0 34\
\23 0 0 0 0 0 8\35 0 0 0 0 0 0 \36 0 0 0 0 0 0 0 0
\15 0 0 0 4\ \9 0 0 0 \21 0 0 0 31\12 0 0 0 20\ \8 0 0 0
\13 0 0 0 0 \23 0 0 0 30\17 0 0 7\5 0 0 8\3 0 0 \24 0 0 0
\25 0 0 0 0 - 35\6 0 0 0 \21 0 0 0 \6 0 0 0 7\19 0 0 0
- \13 0 0 7\ 14\29 0 0 0 0 21\ \9 0 0 \29 0 0 0 0 39\9 0 0
- 35\ 23\29 0 0 0 0 16\ \11 0 0 \4 0 0 39\ 22\25 0 0 0 0 30\ -
\16 0 0 24\16 0 0 0 0 \17 0 0 32\ \19 0 0 0 0 - 16\6 0 0 18\
\22 0 0 0 \11 0 0 0 21\7 0 0 0 8\18 0 0 0 4\ \28 0 0 0 0
\11 0 0 0 \8 0 0 24\16 0 0 6\7 0 0 \7 0 0 0 \14 0 0 0 0
\10 0 0 0 12\ 16\12 0 0 0 \10 0 0 0 16\16 0 0 0 14\ 3\17 0 0 0
\38 0 0 0 0 0 0 0 0 \35 0 0 0 0 0 0 \24 0 0 0 0 0
- \28 0 0 0 0 \16 0 0 \12 0 0 \17 0 0 0 \6 0 0 \16 0 0
