14 22
- - 43\ 23\ 20\ 3\ - - 29\ 21\ 8\ - 16\ 8\ 16\ - - - 24\ 22\ 20\ 14\
- 10\26 0 0 0 0 - 24\23 0 0 0 6\11 0 0 0 - 8\ 16\28 0 0 0 0
\17 0 0 0 0 0 16\37 0 0 0 0 0 0 0 0 16\27 0 0 0 0 0 0
\19 0 0 0 0 \28 0 0 0 0 \3 0 0 16\ \39 0 0 0 0 0 0 0
- 21\7 0 0 0 10\23 0 0 0 14\ - \8 0 0 4\14 0 0 - 23\6 0 0 0
\16 0 0 0 0 0 11\22 0 0 0 12\ 19\17 0 0 0 0 - 24\7 0 0 37\ -
\23 0 0 0 9\4 0 0 \11 0 0 0 0 3\ \3 0 0 4\20 0 0 0 0 6\
\11 0 0 26\13 0 0 0 13\ 16\ \18 0 0 0 3\ 30\ \14 0 0 0 37\4 0 0
- \11 0 0 0 0 \9 0 0 3\ 23\15 0 0 0 0 16\6 0 0 30\20 0 0 0
- 26\ 11\15 0 0 - 20\15 0 0 0 0 - \12 0 0 0 16\31 0 0 0 0 0
\21 0 0 0 23\ 7\13 0 0 \3 0 0 4\ - 12\10 0 0 0 \23 0 0 0 17\
\41 0 0 0 0 0 0 0 3\ 6\12 0 0 4\24 0 0 0 0 13\24 0 0 0 0
\23 0 0 0 0 0 0 \37 0 0 0 0 0 0 0 0 \34 0 0 0 0 0
\13 0 0 0 0 - - \7 0 0 0 \6 0 0 0 - \11 0 0 0 0 -
