12 20
- 3\ 9\ 14\ - - 22\ 41\ 12\ 8\ - 10\ 3\ - 8\ 8\ - - 37\ 11\
\6 0 0 0 6\ 17\10 0 0 0 0 \3 0 0 3\3 0 0 24\ 7\3 0 0
\45 0 0 0 0 0 0 0 0 0 12\45 0 0 0 0 0 0 0 0 0
- 6\ 37\33 0 0 0 0 0 - 10\4 0 0 26\5 0 0 8\6 0 0 0 9\
\13 0 0 0 0 \3 0 0 25\27 0 0 0 0 37\ \3 0 0 7\3 0 0
\4 0 0 17\ 16\ 19\25 0 0 0 0 - \3 0 0 22\34 0 0 0 0 0
- 4\42 0 0 0 0 0 0 0 - - 3\35 0 0 0 0 0 0 0 17\
\30 0 0 0 0 0 \10 0 0 21\ 4\14 0 0 0 0 - 10\ 29\13 0 0
\3 0 0 3\4 0 0 15\ 6\13 0 0 0 0 \14 0 0 17\30 0 0 0 0
- 16\12 0 0 0 4\14 0 0 7\12 0 0 8\ 11\32 0 0 0 0 0 15\ 17\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\8 0 0 - \3 0 0 \3 0 0 \19 0 0 0 0 - \22 0 0 0
