12 20
- - 11\ 32\ 16\ 10\ - - - 17\ 3\ 41\ 18\ 45\ 18\ - - 7\ 36\ -
- 4\21 0 0 0 0 13\ - 6\37 0 0 0 0 0 0 - 3\13 0 0 7\
\26 0 0 0 0 0 0 45\36 0 0 0 0 0 0 0 29\10 0 0 0 0
\20 0 0 0 28\10 0 0 0 0 - 4\21 0 0 0 0 0 0 \4 0 0
- - 33\10 0 0 0 16\12 0 0 31\11 0 0 13\23 0 0 0 10\ 41\3 0 0
- \7 0 0 0 15\10 0 0 17\22 0 0 0 0 0 11\27 0 0 0 0 -
- \42 0 0 0 0 0 0 0 0 16\41 0 0 0 0 0 0 0 0 -
- 6\16 0 0 0 0 13\34 0 0 0 0 0 8\3 0 0 27\21 0 0 0 -
\12 0 0 - 15\23 0 0 0 6\8 0 0 \9 0 0 13\17 0 0 0 13\ 16\
\6 0 0 16\29 0 0 0 0 0 0 15\ 12\11 0 0 0 0 3\10 0 0 0
\17 0 0 0 0 \41 0 0 0 0 0 0 0 \37 0 0 0 0 0 0
- \17 0 0 - \21 0 0 0 0 0 0 - - \21 0 0 0 0 -
