14 22
- - 26\ 36\ 3\ 6\ - 7\ 17\ - - 5\ 19\ 15\ - 3\ 15\ 24\ 14\ - 39\ 9\
- 5\20 0 0 0 0 36\9 0 0 - \21 0 0 0 \26 0 0 0 0 28\16 0 0
\41 0 0 0 0 0 0 0 0 36\ 4\7 0 0 0 42\28 0 0 0 0 0 0 0
\8 0 0 0 12\ 28\9 0 0 43\11 0 0 16\9 0 0 0 14\ 4\28 0 0 0 0 30\
- \16 0 0 0 0 0 6\28 0 0 0 0 0 \8 0 0 0 36\ \22 0 0 0
- - 37\36 0 0 0 0 0 0 0 4\14 0 0 38\22 0 0 0 0 4\23 0 0 0
- 16\12 0 0 3\22 0 0 0 0 0 0 - 3\17 0 0 24\ 39\12 0 0 \7 0 0
\4 0 0 \36 0 0 0 0 0 0 0 \37 0 0 0 0 0 0 0 25\9 0 0
\3 0 0 20\11 0 0 3\ 5\16 0 0 21\ 9\36 0 0 0 0 0 0 17\4 0 0 -
\23 0 0 0 \11 0 0 0 0 \17 0 0 16\36 0 0 0 0 0 0 0 18\ -
\11 0 0 0 6\ 20\6 0 0 0 7\28 0 0 0 0 0 20\34 0 0 0 0 0 9\
- 8\12 0 0 0 0 11\ 10\6 0 0 0 5\17 0 0 9\15 0 0 3\ 17\6 0 0 0
\32 0 0 0 0 0 0 0 \7 0 0 0 - \36 0 0 0 0 0 0 0 0
\16 0 0 \24 0 0 0 0 \6 0 0 0 - \16 0 0 \18 0 0 0 0 -
