12 20
- 11\ 15\ 5\ - - 22\ 8\ - - 10\ 3\ 16\ 41\ 17\ - - 18\ 32\ 7\
\6 0 0 0 - \3 0 0 - \18 0 0 0 0 0 17\ \23 0 0 0
\21 0 0 0 28\ 26\16 0 0 23\ 22\37 0 0 0 0 0 0 28\10 0 0 0
\3 0 0 3\6 0 0 0 \8 0 0 - \3 0 0 \28 0 0 0 0 -
- \21 0 0 0 0 0 32\9 0 0 12\ 26\9 0 0 4\ \7 0 0 0 3\
- 5\ 27\15 0 0 0 7\42 0 0 0 0 0 0 0 0 11\11 0 0 0 0
\13 0 0 30\29 0 0 0 0 28\6 0 0 0 11\18 0 0 0 0 4\4 0 0
\24 0 0 0 0 \42 0 0 0 0 0 0 0 0 12\6 0 0 0 21\ -
- \10 0 0 0 15\ \16 0 0 - \4 0 0 \16 0 0 0 0 0 11\
- 14\15 0 0 0 0 14\5 0 0 6\ 11\16 0 0 17\14 0 0 0 3\16 0 0
\20 0 0 0 \21 0 0 0 0 0 0 - \9 0 0 - \7 0 0 0
\15 0 0 0 - \35 0 0 0 0 0 - \13 0 0 - \6 0 0 0
