12 20
- - - 3\ 13\ 7\ 10\ - 12\ 26\ - 6\ 15\ - 14\ 16\ - - 10\ 13\
- - 20\11 0 0 0 0 10\3 0 0 \4 0 0 29\6 0 0 6\ \12 0 0
- 11\38 0 0 0 0 0 0 0 0 \33 0 0 0 0 0 0 \4 0 0
\16 0 0 18\ \17 0 0 0 0 0 24\ \9 0 0 24\14 0 0 19\3 0 0
\7 0 0 0 9\ 12\ 12\15 0 0 0 0 16\23 0 0 0 0 6\13 0 0 -
\33 0 0 0 0 0 0 0 - 15\17 0 0 \6 0 0 3\3 0 0 19\ -
- \17 0 0 0 0 0 19\ \18 0 0 0 - 12\19 0 0 0 0 0 20\
- - 10\4 0 0 21\12 0 0 23\7 0 0 29\ 14\29 0 0 0 0 0 0 0
- 22\4 0 0 12\26 0 0 0 0 \27 0 0 0 0 21\ 10\ \12 0 0 0
\10 0 0 \4 0 0 9\9 0 0 6\ \18 0 0 0 0 0 6\ 9\4 0 0
\13 0 0 \24 0 0 0 0 0 0 \42 0 0 0 0 0 0 0 0 -
\6 0 0 - \16 0 0 \4 0 0 \16 0 0 \13 0 0 0 0 - -
