14 22
- 16\ 32\ 6\ - - 11\ 17\ 4\ 17\ - - 5\ 39\ - - - 4\ 14\ 3\ 28\ -
\11 0 0 0 3\ \14 0 0 0 0 3\ 23\13 0 0 - 15\ 29\11 0 0 0 0 38\
\17 0 0 0 0 12\38 0 0 0 0 0 0 0 0 17\39 0 0 0 0 0 0 0
- 9\13 0 0 0 0 11\ - 17\13 0 0 0 15\25 0 0 0 0 - - \6 0 0
\9 0 0 - 19\3 0 0 4\16 0 0 8\34 0 0 0 0 0 0 17\ 33\ \5 0 0
\17 0 0 4\32 0 0 0 0 0 0 0 7\17 0 0 16\17 0 0 0 0 \16 0 0
- 37\ 28\12 0 0 6\4 0 0 16\ 40\4 0 0 21\16 0 0 - 17\11 0 0 14\14 0 0
\21 0 0 0 0 0 0 \31 0 0 0 0 0 0 0 3\31 0 0 0 0 0 0
\16 0 0 \3 0 0 16\ 11\16 0 0 6\13 0 0 24\ 16\3 0 0 14\16 0 0 25\ 4\
\12 0 0 \10 0 0 0 0 15\4 0 0 7\41 0 0 0 0 0 0 0 \8 0 0
\4 0 0 - - \34 0 0 0 0 0 0 16\16 0 0 \15 0 0 16\ 7\3 0 0
\6 0 0 3\ 14\ 6\12 0 0 0 0 4\12 0 0 0 16\ 3\ 17\13 0 0 0 0 17\
\34 0 0 0 0 0 0 0 \40 0 0 0 0 0 0 0 0 \28 0 0 0 0
- \11 0 0 0 0 - - \11 0 0 - \25 0 0 0 0 - \19 0 0 0
