14 22
- 23\ 33\ - - 15\ 11\ - 4\ 3\ 37\ - 15\ 16\ - - - 16\ 9\ - 29\ 16\
\14 0 0 - \7 0 0 7\6 0 0 0 \8 0 0 3\ - 6\17 0 0 22\17 0 0
\6 0 0 13\ 41\25 0 0 0 0 0 0 19\12 0 0 0 34\26 0 0 0 0 0 0
\25 0 0 0 0 \3 0 0 - \19 0 0 0 \10 0 0 0 0 43\4 0 0 -
\30 0 0 0 0 28\7 0 0 8\ 29\7 0 0 0 19\ 3\12 0 0 15\8 0 0 0 23\
\22 0 0 0 0 0 14\ \36 0 0 0 0 0 0 0 0 \18 0 0 0 0 0
- 11\ 31\15 0 0 0 0 17\23 0 0 0 - 29\9 0 0 0 16\33 0 0 0 0 0
\6 0 0 35\13 0 0 0 0 13\16 0 0 \7 0 0 14\29 0 0 0 0 14\8 0 0
\35 0 0 0 0 0 \24 0 0 0 19\ 15\8 0 0 0 \14 0 0 0 0 16\ 22\
\17 0 0 0 0 0 7\37 0 0 0 0 0 0 0 0 10\ 14\15 0 0 0 0 0
- \15 0 0 0 6\3 0 0 7\ \22 0 0 0 - \3 0 0 \28 0 0 0 0
- 6\13 0 0 14\10 0 0 0 0 4\9 0 0 0 13\ 6\7 0 0 17\13 0 0 0 0
\36 0 0 0 0 0 0 \7 0 0 0 \32 0 0 0 0 0 0 - \4 0 0
\6 0 0 \6 0 0 - - \11 0 0 \7 0 0 0 \16 0 0 - \14 0 0
