14 22
- 8\ 38\ 27\ - - 7\ 10\ 16\ - 8\ 4\ 16\ 27\ - 18\ 13\ 3\ 6\ - 33\ 18\
\22 0 0 0 12\ \23 0 0 0 12\14 0 0 0 0 \10 0 0 0 0 18\16 0 0
\26 0 0 0 0 4\37 0 0 0 0 0 0 0 0 7\35 0 0 0 0 0 0 0
\16 0 0 0 0 0 3\ - 10\3 0 0 - 31\11 0 0 0 - - \21 0 0 0
- 7\4 0 0 24\3 0 0 6\3 0 0 38\ 14\28 0 0 0 0 17\ 7\ \6 0 0 0
\25 0 0 0 0 \37 0 0 0 0 0 0 0 3\16 0 0 0 0 13\ \8 0 0
\13 0 0 0 0 21\ \3 0 0 3\11 0 0 0 0 21\ 6\20 0 0 0 - 28\ 22\
\4 0 0 \5 0 0 15\13 0 0 0 0 10\11 0 0 0 0 \3 0 0 27\6 0 0
- 20\ 18\ \23 0 0 0 20\ 7\15 0 0 0 0 29\12 0 0 6\ \14 0 0 0 0
\3 0 0 23\ \21 0 0 0 0 26\28 0 0 0 0 0 0 0 13\21 0 0 0 0
\10 0 0 0 - - \27 0 0 0 0 - 7\14 0 0 \14 0 0 12\16 0 0 22\
\16 0 0 0 3\ 5\ 14\15 0 0 0 3\ 13\8 0 0 7\ 4\ 12\16 0 0 0 0 0
\29 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0 0 \28 0 0 0 0
\17 0 0 \15 0 0 0 0 \10 0 0 0 0 \10 0 0 0 - \18 0 0 0
