16 22
- 24\ 41\ 17\ 27\ - 36\ 17\ 24\ - 39\ 8\ - - 3\ 11\ - 25\ 6\ 10\ - -
\29 0 0 0 0 \21 0 0 0 \16 0 0 16\ 24\4 0 0 \6 0 0 0 21\ 3\
\20 0 0 0 0 4\24 0 0 0 17\31 0 0 0 0 0 0 4\16 0 0 0 0 0
\17 0 0 3\6 0 0 0 4\23 0 0 0 19\17 0 0 6\ 3\21 0 0 0 0 0 0
- \23 0 0 0 0 0 0 \24 0 0 0 \22 0 0 0 0 0 12\3 0 0 23\
- 5\16 0 0 0 6\3 0 0 17\ 16\16 0 0 7\ 23\4 0 0 3\4 0 0 11\13 0 0
\13 0 0 24\6 0 0 0 18\28 0 0 0 0 0 0 0 6\25 0 0 0 0 0 0
\17 0 0 0 21\23 0 0 0 0 0 24\ \3 0 0 7\3 0 0 6\12 0 0 0 0
- 17\ 27\6 0 0 0 13\26 0 0 0 0 \12 0 0 0 0 36\6 0 0 0 28\ 4\
\10 0 0 0 0 23\5 0 0 13\12 0 0 21\ 31\18 0 0 0 0 0 24\8 0 0 0
\34 0 0 0 0 0 0 5\30 0 0 0 0 0 0 0 9\6 0 0 0 6\3 0 0
\16 0 0 10\11 0 0 5\13 0 0 11\ \16 0 0 16\ \17 0 0 4\9 0 0 0 -
- 3\3 0 0 6\16 0 0 0 0 0 16\24 0 0 0 24\22 0 0 0 0 0 0 7\
\26 0 0 0 0 0 0 3\ 9\17 0 0 17\17 0 0 0 16\17 0 0 0 4\3 0 0
\15 0 0 0 0 0 \28 0 0 0 0 0 0 \24 0 0 0 \13 0 0 0 0
- - \6 0 0 0 \4 0 0 - \16 0 0 \21 0 0 0 \10 0 0 0 0
