16 22
- - 27\ 19\ 14\ 15\ 5\ - 24\ 16\ 10\ - 12\ 14\ 23\ - 4\ 22\ 15\ 10\ 25\ -
- 29\34 0 0 0 0 0 \19 0 0 0 6\19 0 0 0 \17 0 0 0 0 0 11\
\23 0 0 0 0 0 0 4\34 0 0 0 0 0 0 0 9\38 0 0 0 0 0 0
\35 0 0 0 0 0 8\10 0 0 11\7 0 0 0 16\16 0 0 3\16 0 0 0 0 0
\8 0 0 30\ 23\ 41\3 0 0 3\15 0 0 0 0 0 3\3 0 0 29\ 21\ 42\4 0 0
\39 0 0 0 0 0 0 27\3 0 0 20\ - 17\3 0 0 35\24 0 0 0 0 0 0
- 20\ 7\18 0 0 0 23\11 0 0 0 0 7\20 0 0 0 0 23\22 0 0 0 21\ 8\
\41 0 0 0 0 0 0 0 \15 0 0 0 0 0 \28 0 0 0 0 0 0 0
\11 0 0 0 8\9 0 0 0 - 14\20 0 0 0 11\ \23 0 0 0 11\15 0 0 0
\29 0 0 0 0 0 0 0 4\15 0 0 0 0 0 3\41 0 0 0 0 0 0 0
- 30\ 29\13 0 0 0 13\14 0 0 0 0 \19 0 0 0 0 17\23 0 0 0 16\ 30\
\39 0 0 0 0 0 0 17\6 0 0 10\ 6\ 29\4 0 0 16\34 0 0 0 0 0 0
\8 0 0 19\ 6\ 7\16 0 0 6\19 0 0 0 0 0 20\16 0 0 22\ 15\ 12\12 0 0
\28 0 0 0 0 0 11\11 0 0 16\11 0 0 0 17\16 0 0 7\20 0 0 0 0 0
\24 0 0 0 0 0 0 \35 0 0 0 0 0 0 0 \22 0 0 0 0 0 0
- \30 0 0 0 0 0 \11 0 0 0 \22 0 0 0 \33 0 0 0 0 0 -
