16 22
- 6\ 39\ 16\ 13\ 22\ 11\ 7\ - - 10\ 5\ 11\ - - 6\ 3\ 22\ - 17\ 30\ -
\41 0 0 0 0 0 0 0 - 21\6 0 0 0 42\ \11 0 0 0 3\16 0 0 13\
\28 0 0 0 0 0 0 0 8\20 0 0 0 0 0 28\29 0 0 0 0 0 0 0
\12 0 0 30\28 0 0 0 0 0 0 0 6\18 0 0 0 0 17\4 0 0 30\16 0 0
- 8\14 0 0 36\3 0 0 8\3 0 0 3\15 0 0 0 0 10\16 0 0 41\18 0 0 0
\33 0 0 0 0 0 21\15 0 0 0 0 0 6\26 0 0 0 0 13\16 0 0 6\ 11\
\33 0 0 0 0 0 0 0 3\11 0 0 7\13 0 0 0 0 21\18 0 0 0 0 0
- 11\ 8\10 0 0 22\6 0 0 0 42\ 8\6 0 0 0 4\28 0 0 0 0 0 0 0
\3 0 0 16\23 0 0 0 24\29 0 0 0 0 0 0 0 7\22 0 0 0 20\3 0 0
\30 0 0 0 0 0 0 0 27\6 0 0 0 8\ 35\6 0 0 0 36\17 0 0 33\ 5\
\18 0 0 0 0 0 17\25 0 0 0 0 3\16 0 0 22\35 0 0 0 0 0 0 0
- 6\ 11\16 0 0 14\27 0 0 0 0 30\24 0 0 0 0 0 29\27 0 0 0 0 0
\6 0 0 0 4\16 0 0 9\24 0 0 0 0 18\14 0 0 22\16 0 0 17\16 0 0 12\
\4 0 0 4\3 0 0 10\21 0 0 0 0 9\38 0 0 0 0 0 0 0 14\16 0 0
\28 0 0 0 0 0 0 0 \33 0 0 0 0 0 \38 0 0 0 0 0 0 0
- \4 0 0 \6 0 0 0 - \15 0 0 0 - \29 0 0 0 0 0 0 0
