16 22
- 11\ 20\ 3\ - 6\ 15\ - 7\ 4\ - - - 9\ 12\ - 15\ 7\ - 4\ 20\ 11\
\6 0 0 0 4\3 0 0 \3 0 0 38\ 15\ 39\16 0 0 \3 0 0 4\6 0 0 0
\21 0 0 0 0 0 0 5\28 0 0 0 0 0 0 0 3\21 0 0 0 0 0 0
\12 0 0 13\15 0 0 0 0 0 10\18 0 0 0 17\15 0 0 0 0 0 25\3 0 0
\6 0 0 0 4\ 42\4 0 0 42\30 0 0 0 0 0 36\3 0 0 29\ 8\20 0 0 0
- 27\ 18\20 0 0 0 0 26\32 0 0 0 0 0 0 0 19\27 0 0 0 0 18\ 34\
\15 0 0 0 0 0 18\16 0 0 13\21 0 0 0 12\11 0 0 24\30 0 0 0 0 0
\12 0 0 0 \38 0 0 0 0 0 0 \38 0 0 0 0 0 0 \13 0 0 0
\3 0 0 16\ \15 0 0 0 0 0 26\ - 25\34 0 0 0 0 0 - 14\7 0 0
\6 0 0 0 4\21 0 0 0 0 0 0 18\28 0 0 0 0 0 0 16\10 0 0 0
\24 0 0 0 0 0 15\14 0 0 5\7 0 0 0 4\3 0 0 28\17 0 0 0 0 0
- 20\ 11\21 0 0 0 0 4\29 0 0 0 0 0 0 0 16\30 0 0 0 0 22\ 29\
\7 0 0 0 3\ 7\3 0 0 12\16 0 0 0 0 0 7\17 0 0 24\ 17\11 0 0 0
\12 0 0 4\15 0 0 0 0 0 8\6 0 0 0 4\28 0 0 0 0 0 17\17 0 0
\21 0 0 0 0 0 0 \29 0 0 0 0 0 0 0 \36 0 0 0 0 0 0
\6 0 0 0 \4 0 0 \16 0 0 - - \3 0 0 \17 0 0 \24 0 0 0
