16 22
- 12\ 16\ 24\ - - 3\ 11\ - 30\ 11\ - 38\ 16\ 18\ - 3\ 6\ - 15\ 23\ 11\
\19 0 0 0 - 21\4 0 0 3\4 0 0 \20 0 0 0 \4 0 0 6\6 0 0 0
\12 0 0 0 3\21 0 0 0 0 0 0 6\22 0 0 0 3\22 0 0 0 0 0 0
- 24\ 28\7 0 0 0 22\22 0 0 0 0 0 0 30\3 0 0 15\15 0 0 0 0 0
\37 0 0 0 0 0 0 0 7\24 0 0 0 0 0 29\7 0 0 9\ 6\16 0 0 0
\19 0 0 0 4\3 0 0 21\15 0 0 7\26 0 0 0 0 23\15 0 0 0 0 29\ 13\
\14 0 0 3\28 0 0 0 0 0 0 0 7\29 0 0 0 0 29\3 0 0 \4 0 0
- 15\21 0 0 0 0 0 0 30\7 0 0 0 11\21 0 0 0 0 0 0 6\13 0 0
\7 0 0 0 10\ 7\20 0 0 0 11\6 0 0 0 33\24 0 0 0 27\ 3\6 0 0 0
\12 0 0 \21 0 0 0 0 0 0 22\6 0 0 0 17\21 0 0 0 0 0 0 24\
\3 0 0 19\3 0 0 16\16 0 0 0 0 6\30 0 0 0 0 0 0 0 16\8 0 0
- 11\ 22\15 0 0 0 0 3\13 0 0 0 0 11\17 0 0 11\17 0 0 4\21 0 0 0
\6 0 0 0 3\ 9\9 0 0 18\15 0 0 0 0 0 4\29 0 0 0 0 0 0 0
\15 0 0 0 0 0 3\3 0 0 10\22 0 0 0 0 0 0 4\6 0 0 0 13\ 9\
\22 0 0 0 0 0 0 \19 0 0 0 \25 0 0 0 0 0 0 \19 0 0 0
\19 0 0 0 \4 0 0 \10 0 0 0 \11 0 0 \3 0 0 - \7 0 0 0
