12 20
- - 39\ 4\ - - 16\ 20\ 43\ 8\ - 28\ 17\ 20\ 11\ 3\ - - 12\ 9\
- 9\3 0 0 3\ 5\13 0 0 0 0 \18 0 0 0 0 0 - 6\17 0 0
\45 0 0 0 0 0 0 0 0 0 11\28 0 0 0 0 0 18\6 0 0 0
\16 0 0 7\3 0 0 6\3 0 0 16\17 0 0 43\16 0 0 \3 0 0 39\ -
- 14\5 0 0 22\ 23\34 0 0 0 0 0 0 0 9\ - 12\20 0 0 0 15\
\33 0 0 0 0 0 0 3\14 0 0 - \9 0 0 \13 0 0 7\3 0 0
\16 0 0 0 0 0 \7 0 0 - - 4\17 0 0 10\22 0 0 0 0 0
\15 0 0 6\16 0 0 \10 0 0 11\ 3\4 0 0 17\21 0 0 0 0 0 0
- \7 0 0 0 - 23\ 11\32 0 0 0 0 0 0 0 17\ 8\4 0 0 17\
- 9\ 10\4 0 0 3\8 0 0 11\4 0 0 10\5 0 0 4\11 0 0 16\9 0 0
\6 0 0 0 \18 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\16 0 0 - \29 0 0 0 0 0 \26 0 0 0 0 - \17 0 0 -
