12 20
- 15\ 35\ - 37\ 36\ - 12\ 30\ 14\ - 26\ 13\ - - - 3\ 23\ - -
\7 0 0 \3 0 0 \17 0 0 0 \11 0 0 - 12\ 14\11 0 0 12\ 4\
\17 0 0 15\17 0 0 6\7 0 0 0 \3 0 0 16\26 0 0 0 0 0 0
- 18\31 0 0 0 0 0 \16 0 0 11\34 0 0 0 0 0 38\7 0 0 0
\21 0 0 0 0 0 0 19\25 0 0 0 0 \4 0 0 38\3 0 0 - -
\17 0 0 \13 0 0 \16 0 0 \4 0 0 31\15 0 0 0 0 0 36\ 7\
\13 0 0 15\16 0 0 29\4 0 0 34\ 16\ \3 0 0 \9 0 0 \12 0 0
- - \17 0 0 0 0 0 \17 0 0 28\15 0 0 17\17 0 0 6\3 0 0
- 3\ 4\4 0 0 4\6 0 0 11\30 0 0 0 0 \26 0 0 0 0 0 0
\9 0 0 0 6\18 0 0 0 0 0 \14 0 0 11\35 0 0 0 0 0 3\
\24 0 0 0 0 0 0 \8 0 0 \21 0 0 0 \3 0 0 \5 0 0
- - \4 0 0 - - \16 0 0 \7 0 0 0 \16 0 0 \11 0 0
