12 20
- 11\ 42\ - - - 4\ 10\ 13\ - - - 12\ 9\ - - 33\ 14\ 4\ 13\
\3 0 0 22\ 8\ \20 0 0 0 - 9\ 21\16 0 0 41\ \11 0 0 0 0
\29 0 0 0 0 16\6 0 0 0 10\18 0 0 0 0 0 10\26 0 0 0 0
- \17 0 0 0 0 33\ 8\21 0 0 0 0 0 17\14 0 0 0 0 43\ 7\
- \30 0 0 0 0 0 0 12\7 0 0 0 \24 0 0 0 0 21\10 0 0
- 11\9 0 0 - 12\17 0 0 0 0 - 13\ 4\42 0 0 0 0 0 0 0
\7 0 0 0 30\4 0 0 13\4 0 0 \6 0 0 3\13 0 0 \8 0 0 0
\42 0 0 0 0 0 0 0 - 6\ 16\12 0 0 0 0 14\ 11\11 0 0 -
\16 0 0 7\10 0 0 0 0 12\6 0 0 0 19\22 0 0 0 0 0 0 -
- 6\ 9\17 0 0 0 0 17\21 0 0 0 0 0 3\ 13\16 0 0 0 0 15\
\10 0 0 0 0 \29 0 0 0 0 0 \19 0 0 0 \30 0 0 0 0
\24 0 0 0 0 - \16 0 0 - - \7 0 0 0 - - \7 0 0
