12 20
- 14\ 16\ 10\ - - 13\ 16\ 5\ 13\ - - - 15\ 16\ - 4\ 6\ 17\ -
\8 0 0 0 17\ \10 0 0 0 0 45\ - \7 0 0 3\6 0 0 0 -
\30 0 0 0 0 16\34 0 0 0 0 0 4\ 15\24 0 0 0 0 0 0 17\
- 13\26 0 0 0 0 0 0 - 6\9 0 0 0 6\5 0 0 - 10\9 0 0
\5 0 0 25\13 0 0 0 0 14\26 0 0 0 0 0 0 16\ 3\12 0 0 0
\15 0 0 0 14\ 16\ \22 0 0 0 0 21\ 3\23 0 0 0 0 0 0 -
- - 15\23 0 0 0 29\ 17\16 0 0 0 0 0 22\ \12 0 0 0 20\ 4\
- 4\35 0 0 0 0 0 0 15\ 8\19 0 0 0 0 10\ 13\ 7\7 0 0 0
\15 0 0 0 - 6\39 0 0 0 0 0 0 \24 0 0 0 0 9\12 0 0
\3 0 0 3\ 6\4 0 0 8\18 0 0 0 15\ 4\21 0 0 0 0 0 0 13\
- \21 0 0 0 0 0 0 - \26 0 0 0 0 0 \10 0 0 0 0
- \8 0 0 0 \16 0 0 - - \12 0 0 0 0 - \12 0 0 0
