14 22
- 11\ 40\ 4\ - - 36\ 3\ 14\ 33\ - 7\ 12\ - - 34\ 22\ - 7\ 4\ 10\ -
\20 0 0 0 7\ \13 0 0 0 0 16\4 0 0 - 4\16 0 0 \7 0 0 0 5\
\10 0 0 0 0 4\33 0 0 0 0 0 0 0 22\7 0 0 0 29\10 0 0 0 0
\3 0 0 15\8 0 0 0 \23 0 0 0 0 22\22 0 0 0 0 0 0 15\4 0 0
- \18 0 0 0 0 0 6\17 0 0 22\ \14 0 0 \24 0 0 0 6\7 0 0 -
- \16 0 0 - \4 0 0 8\12 0 0 9\4 0 0 19\27 0 0 0 0 0 36\ 16\
- 12\8 0 0 7\ \14 0 0 0 \34 0 0 0 0 0 10\ \11 0 0 10\8 0 0
\20 0 0 0 0 23\ \4 0 0 18\7 0 0 0 \3 0 0 30\ \17 0 0 0 0
\4 0 0 12\4 0 0 16\ 32\16 0 0 0 0 0 18\23 0 0 0 - \5 0 0 -
- - 10\16 0 0 0 0 0 \3 0 0 \4 0 0 11\4 0 0 6\ 13\8 0 0 -
- 15\13 0 0 7\18 0 0 0 7\15 0 0 12\ 5\3 0 0 \16 0 0 0 0 0 7\
\7 0 0 3\21 0 0 0 0 0 0 3\10 0 0 0 0 5\22 0 0 0 4\8 0 0
\16 0 0 0 0 \18 0 0 0 \28 0 0 0 0 0 0 0 \14 0 0 0 0
- \6 0 0 0 \14 0 0 - \11 0 0 \11 0 0 0 0 - \7 0 0 0
