17 20
- 21\ 8\ 42\ - 39\ 10\ 37\ - - - - - 39\ 15\ 10\ - - - -
\9 0 0 0 \24 0 0 0 6\ 41\ - 19\ 11\9 0 0 0 - 36\ 29\ -
\22 0 0 0 5\15 0 0 0 0 0 \25 0 0 0 0 0 45\17 0 0 4\
\45 0 0 0 0 0 0 0 0 0 10\7 0 0 0 11\26 0 0 0 0 0
- 15\ 12\16 0 0 0 26\40 0 0 0 0 0 0 0 0 \25 0 0 0 0
\23 0 0 0 45\12 0 0 0 35\17 0 0 8\ 29\13 0 0 \9 0 0 0 -
\45 0 0 0 0 0 0 0 0 0 \17 0 0 0 0 6\6 0 0 16\ 9\
- 8\ 16\17 0 0 22\25 0 0 0 0 12\45 0 0 0 0 0 0 0 0 0
\14 0 0 38\8 0 0 0 41\24 0 0 0 40\3 0 0 30\23 0 0 0 0 0
\19 0 0 0 0 0 10\17 0 0 3\13 0 0 0 33\13 0 0 0 29\15 0 0
\45 0 0 0 0 0 0 0 0 0 \30 0 0 0 0 26\4 0 0 5\ 15\
- - 29\13 0 0 \16 0 0 0 0 10\45 0 0 0 0 0 0 0 0 0
- 15\8 0 0 0 \12 0 0 18\ 23\16 0 0 8\9 0 0 0 9\11 0 0 0
\29 0 0 0 0 23\38 0 0 0 0 0 0 0 0 14\6 0 0 0 20\ 6\
\31 0 0 0 0 0 4\9 0 0 0 \45 0 0 0 0 0 0 0 0 0
- \17 0 0 \29 0 0 0 0 0 \34 0 0 0 0 0 \6 0 0 0
- - - - \10 0 0 0 - - - - \9 0 0 0 \16 0 0 0
