31 46
- 26\ 28\ - - 17\ 38\ 23\ 11\ - - - 24\ 16\ 23\ - - - - 16\ 37\ - 14\ 9\ - - - - 9\ 24\ - - - - 28\ 4\ - - - - 10\ 11\ - 20\ 34\ -
\11 0 0 7\ \29 0 0 0 0 31\ 15\ \18 0 0 0 20\ - 4\ 17\16 0 0 8\14 0 0 16\ 29\ - \8 0 0 11\ - - 8\6 0 0 - 29\ 22\ 4\9 0 0 \6 0 0 -
\6 0 0 0 17\39 0 0 0 0 0 0 13\28 0 0 0 0 15\45 0 0 0 0 0 0 0 0 0 13\ 10\19 0 0 0 - 19\8 0 0 0 \22 0 0 0 0 0 20\16 0 0 -
\29 0 0 0 0 21\16 0 0 5\26 0 0 0 0 28\19 0 0 0 0 0 3\13 0 0 3\ 44\35 0 0 0 0 0 0 0 10\10 0 0 0 13\ \8 0 0 0 \14 0 0 0 0 9\
\13 0 0 10\15 0 0 0 5\11 0 0 0 0 35\29 0 0 0 0 9\ \3 0 0 8\7 0 0 6\19 0 0 0 27\ 16\23 0 0 0 \14 0 0 6\11 0 0 15\ 34\ 11\29 0 0 0 0
- 13\13 0 0 16\24 0 0 0 0 0 0 45\23 0 0 0 9\12 0 0 41\29 0 0 0 0 0 0 0 \16 0 0 0 21\3 0 0 39\11 0 0 0 0 6\29 0 0 0 0 \7 0 0
\28 0 0 0 0 0 0 0 10\28 0 0 0 0 0 29\10 0 0 0 0 14\3 0 0 6\11 0 0 - 22\ 42\23 0 0 0 3\15 0 0 0 10\33 0 0 0 0 0 0 27\ 14\3 0 0
\28 0 0 0 0 0 23\ 38\4 0 0 10\28 0 0 0 0 0 0 7\29 0 0 0 0 0 0 0 \23 0 0 0 4\3 0 0 4\22 0 0 0 10\10 0 0 18\29 0 0 0 0 0 -
- 3\ 23\ - 23\29 0 0 0 0 \21 0 0 0 23\13 0 0 15\20 0 0 0 9\ 17\11 0 0 - 16\39 0 0 0 0 0 0 0 0 15\7 0 0 0 45\16 0 0 0 0 0 19\ 16\
\9 0 0 3\22 0 0 0 0 0 13\24 0 0 0 0 0 41\6 0 0 0 31\21 0 0 0 0 9\18 0 0 0 10\9 0 0 9\15 0 0 0 0 0 24\17 0 0 0 43\14 0 0 0 0
\19 0 0 0 0 13\15 0 0 4\10 0 0 0 21\45 0 0 0 0 0 0 0 0 0 17\24 0 0 0 35\11 0 0 44\4 0 0 17\8 0 0 29\38 0 0 0 0 0 0 0 16\14 0 0
- \16 0 0 0 0 4\29 0 0 0 0 0 0 0 \10 0 0 \6 0 0 15\ 38\39 0 0 0 0 0 0 0 0 12\37 0 0 0 0 0 0 0 0 24\5 0 0 10\13 0 0 3\
- - 19\ 17\25 0 0 0 0 0 0 \3 0 0 38\ \3 0 0 38\35 0 0 0 0 0 39\ 10\19 0 0 0 4\10 0 0 0 0 38\8 0 0 29\23 0 0 0 \19 0 0 0 0 0
- 17\21 0 0 0 36\5 0 0 45\ - 17\23 0 0 0 13\21 0 0 0 3\24 0 0 0 7\17 0 0 27\23 0 0 0 0 0 43\34 0 0 0 0 0 12\17 0 0 \11 0 0 14\7 0 0
\23 0 0 0 0 0 3\10 0 0 22\21 0 0 0 0 0 0 11\6 0 0 0 \29 0 0 0 0 0 0 \8 0 0 3\6 0 0 0 29\34 0 0 0 0 0 8\21 0 0 0 20\ -
\16 0 0 16\ 23\29 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 0 20\17 0 0 0 4\8 0 0 22\ 17\18 0 0 0 9\17 0 0 \11 0 0 0 36\18 0 0 0 0 0 3\
- \26 0 0 0 0 0 20\8 0 0 0 13\11 0 0 17\23 0 0 0 8\ \4 0 0 3\9 0 0 0 \43 0 0 0 0 0 0 0 0 45\22 0 0 0 0 0 0 29\ 16\5 0 0
- 8\ 15\24 0 0 0 \35 0 0 0 0 0 28\9 0 0 0 10\3 0 0 39\21 0 0 0 0 0 0 6\12 0 0 0 21\24 0 0 0 0 0 0 \14 0 0 3\17 0 0 0 0 0
\4 0 0 3\3 0 0 \16 0 0 24\27 0 0 0 0 0 17\34 0 0 0 0 0 12\10 0 0 7\14 0 0 0 40\12 0 0 0 \18 0 0 0 - 20\ 7\6 0 0 17\21 0 0 0 -
\21 0 0 0 0 0 41\12 0 0 0 17\9 0 0 32\10 0 0 0 0 13\9 0 0 0 12\ 40\35 0 0 0 0 0 \11 0 0 - 23\17 0 0 29\23 0 0 0 0 0 0 10\ 19\ -
- 7\5 0 0 14\10 0 0 19\36 0 0 0 0 0 0 0 0 27\37 0 0 0 0 0 0 0 0 8\ 10\9 0 0 9\4 0 0 15\41 0 0 0 0 0 0 0 13\30 0 0 0 0 4\
\4 0 0 7\41 0 0 0 0 0 0 0 24\16 0 0 3\16 0 0 11\11 0 0 7\23 0 0 0 12\45 0 0 0 0 0 0 0 0 0 17\23 0 0 0 11\16 0 0 24\22 0 0 0 0
\14 0 0 0 0 11\23 0 0 0 36\19 0 0 0 0 0 17\8 0 0 28\11 0 0 0 \11 0 0 0 0 16\23 0 0 0 8\23 0 0 0 0 0 \19 0 0 0 0 0 \3 0 0
- - 38\17 0 0 0 0 0 16\20 0 0 0 33\36 0 0 0 0 0 0 0 0 - 17\5 0 0 7\ 32\12 0 0 0 22\9 0 0 11\9 0 0 0 22\27 0 0 0 0 5\ 23\ 29\ 6\
- 7\15 0 0 0 0 0 10\11 0 0 4\11 0 0 0 16\17 0 0 3\17 0 0 0 \41 0 0 0 0 0 0 0 16\21 0 0 0 0 0 0 27\3 0 0 8\ 29\20 0 0 0 0 0
\11 0 0 - 15\26 0 0 0 0 0 0 4\20 0 0 0 4\17 0 0 0 9\ - 29\15 0 0 10\4 0 0 6\27 0 0 0 0 22\20 0 0 0 0 0 12\29 0 0 0 0 0 0 0
\4 0 0 20\20 0 0 0 0 8\10 0 0 0 0 \7 0 0 20\7 0 0 0 10\29 0 0 0 0 0 0 0 \12 0 0 11\6 0 0 0 10\36 0 0 0 0 0 0 10\11 0 0 29\
\10 0 0 0 0 23\ - 15\12 0 0 \3 0 0 9\7 0 0 0 14\ 24\18 0 0 0 5\3 0 0 10\3 0 0 3\ 5\11 0 0 0 0 21\10 0 0 0 0 23\7 0 0 0 9\7 0 0
- \30 0 0 0 0 13\17 0 0 0 - 8\9 0 0 0 \37 0 0 0 0 0 0 0 4\ 14\11 0 0 16\16 0 0 0 0 0 13\29 0 0 0 0 4\10 0 0 13\25 0 0 0 0
- \8 0 0 \34 0 0 0 0 0 \22 0 0 0 - \23 0 0 0 - \45 0 0 0 0 0 0 0 0 0 \29 0 0 0 0 \28 0 0 0 0 0 0 \24 0 0 0
- \16 0 0 \14 0 0 - - - \5 0 0 - - - \10 0 0 - - - \7 0 0 \17 0 0 - - - \23 0 0 0 - - \13 0 0 0 0 - \12 0 0
