16 26
- 26\ 45\ - - 12\ 20\ 22\ 29\ - - - 29\ 10\ 45\ - - 23\ 17\ 28\ - 10\ 39\ 13\ - -
\5 0 0 - 20\21 0 0 0 0 21\ - 5\13 0 0 0 - 17\24 0 0 0 \11 0 0 0 11\ -
\17 0 0 29\28 0 0 0 0 0 0 16\27 0 0 0 0 30\26 0 0 0 0 42\20 0 0 0 0 21\
\11 0 0 0 0 16\41 0 0 0 0 0 0 0 16\18 0 0 0 0 30\29 0 0 0 0 35\5 0 0
\38 0 0 0 0 0 0 11\7 0 0 0 24\20 0 0 0 0 21\28 0 0 0 0 11\29 0 0 0 0
\20 0 0 0 23\11 0 0 0 0 29\45 0 0 0 0 0 0 0 0 0 3\38 0 0 0 0 0 0
- 6\30 0 0 0 0 32\34 0 0 0 0 0 45\ 20\19 0 0 0 22\21 0 0 0 0 0 0 45\ -
\3 0 0 21\36 0 0 0 0 0 0 21\17 0 0 0 0 \26 0 0 0 0 0 29\ 9\8 0 0 10\
\39 0 0 0 0 0 0 3\ 24\16 0 0 \20 0 0 0 8\17 0 0 38\ 20\28 0 0 0 0 0 0
- \14 0 0 23\ 17\26 0 0 0 0 0 11\18 0 0 0 0 16\27 0 0 0 0 0 0 30\16 0 0
- 21\ 24\26 0 0 0 0 0 0 28\21 0 0 0 8\ 34\25 0 0 0 0 0 29\29 0 0 0 0 32\
\30 0 0 0 0 0 0 18\45 0 0 0 0 0 0 0 0 0 8\29 0 0 0 0 19\10 0 0 0
\20 0 0 0 0 22\11 0 0 0 0 3\10 0 0 0 0 3\22 0 0 0 6\22 0 0 0 0 0 0
\5 0 0 3\17 0 0 0 0 6\19 0 0 0 0 17\29 0 0 0 0 0 0 0 7\29 0 0 0 0
- \21 0 0 0 0 \12 0 0 0 0 \25 0 0 0 0 \32 0 0 0 0 0 0 \11 0 0
- - \8 0 0 0 \21 0 0 0 - \24 0 0 0 - - \20 0 0 0 0 - \17 0 0
