18 24
- - 42\ 11\ - - 23\ 20\ 4\ - 29\ 40\ - 43\ 22\ - 11\ 29\ 12\ - - 24\ 29\ -
- \4 0 0 28\ \19 0 0 0 \10 0 0 \3 0 0 \18 0 0 0 - 42\9 0 0 -
- \23 0 0 0 12\11 0 0 0 23\4 0 0 \7 0 0 6\9 0 0 0 19\24 0 0 0 -
- 13\21 0 0 0 0 0 0 27\19 0 0 0 \7 0 0 0 14\39 0 0 0 0 0 0 17\
\8 0 0 \5 0 0 9\34 0 0 0 0 0 \32 0 0 0 0 0 10\9 0 0 \15 0 0
\9 0 0 13\24 0 0 0 41\24 0 0 0 0 13\13 0 0 0 0 38\24 0 0 0 9\4 0 0
\20 0 0 0 0 7\9 0 0 0 24\31 0 0 0 0 0 26\9 0 0 0 14\20 0 0 0 0
- \10 0 0 0 0 24\23 0 0 0 23\23 0 0 0 11\10 0 0 0 7\11 0 0 0 0 -
- - \35 0 0 0 0 0 \13 0 0 0 \9 0 0 0 \34 0 0 0 0 0 - -
- - - 20\ 30\ 10\10 0 0 \13 0 0 37\ - 42\4 0 0 \10 0 0 4\ 41\ 19\ - -
- - 28\34 0 0 0 0 0 17\22 0 0 0 9\23 0 0 0 11\16 0 0 0 0 0 41\ -
- 19\11 0 0 0 0 7\7 0 0 0 21\6 0 0 0 23\21 0 0 0 8\15 0 0 0 0 12\
\26 0 0 0 0 7\21 0 0 0 24\22 0 0 0 0 0 7\12 0 0 0 6\23 0 0 0 0
\4 0 0 \6 0 0 0 29\15 0 0 0 0 \11 0 0 0 0 17\7 0 0 0 \17 0 0
\10 0 0 7\11 0 0 10\34 0 0 0 0 0 \15 0 0 0 0 0 6\11 0 0 19\7 0 0
- \32 0 0 0 0 0 0 10\10 0 0 0 \21 0 0 0 4\21 0 0 0 0 0 0 -
- \6 0 0 0 \20 0 0 0 \9 0 0 \10 0 0 \10 0 0 0 \24 0 0 0 -
- \8 0 0 - \10 0 0 0 \14 0 0 \6 0 0 \7 0 0 0 - \17 0 0 -
