29 39
- - - 26\ 4\ 31\ 33\ - - - 21\ 37\ - - - 29\ 22\ - - - - - 3\ 29\ - - - 30\ 18\ - - - - 37\ 23\ - - - -
- - 16\20 0 0 0 0 16\ - \17 0 0 9\ - \16 0 0 4\ - - - 16\8 0 0 28\ - 9\4 0 0 30\ - - \16 0 0 13\ - - -
- 7\36 0 0 0 0 0 0 32\ \24 0 0 0 11\ \8 0 0 0 7\ - 10\11 0 0 0 0 23\12 0 0 0 0 16\ - 10\20 0 0 0 29\ - -
\6 0 0 0 30\14 0 0 0 0 24\10 0 0 0 0 21\14 0 0 0 0 24\4 0 0 35\42 0 0 0 0 0 0 0 0 33\17 0 0 0 0 0 35\ -
\21 0 0 0 0 0 0 24\21 0 0 0 0 4\13 0 0 0 0 30\36 0 0 0 0 0 0 0 0 37\42 0 0 0 0 0 0 0 29\24 0 0 0 15\
\4 0 0 45\30 0 0 0 0 0 0 29\26 0 0 0 0 39\17 0 0 0 0 20\10 0 0 17\29 0 0 0 0 7\13 0 0 0 38\37 0 0 0 0 0 0
- \13 0 0 0 0 41\32 0 0 0 0 0 0 6\29 0 0 0 0 16\33 0 0 0 0 0 0 10\13 0 0 0 18\35 0 0 0 0 0 15\13 0 0 0
- - 15\31 0 0 0 0 0 0 29\14 0 0 6\13 0 0 0 16\17 0 0 0 0 35\32 0 0 0 0 0 33\15 0 0 0 0 0 32\6 0 0 6\17 0 0
- 6\18 0 0 0 7\39 0 0 0 0 0 0 0 0 30\29 0 0 0 0 35\18 0 0 0 16\22 0 0 0 0 0 0 29\41 0 0 0 0 0 0 0 -
\34 0 0 0 0 0 0 0 26\17 0 0 14\26 0 0 0 0 0 6\30 0 0 0 0 0 0 8\24 0 0 0 15\34 0 0 0 0 0 34\4 0 0 - -
\7 0 0 0 22\34 0 0 0 0 0 36\4 0 0 15\11 0 0 29\12 0 0 0 23\30 0 0 0 0 22\35 0 0 0 0 0 10\29 0 0 0 0 3\ - -
\21 0 0 0 0 0 0 15\11 0 0 0 0 \25 0 0 0 0 0 21\24 0 0 0 22\21 0 0 0 0 0 0 29\28 0 0 0 0 0 0 0 29\ -
- \12 0 0 0 \12 0 0 0 21\16 0 0 13\14 0 0 10\42 0 0 0 0 0 0 0 0 14\34 0 0 0 0 0 0 0 15\17 0 0 38\9 0 0 15\
- - 11\4 0 0 21\44 0 0 0 0 0 0 0 0 17\13 0 0 11\19 0 0 0 25\11 0 0 0 0 25\8 0 0 0 23\16 0 0 0 0 0 \11 0 0
- 10\22 0 0 0 0 0 0 30\16 0 0 20\28 0 0 0 0 0 0 0 - \17 0 0 28\9 0 0 0 11\16 0 0 0 0 0 43\4 0 0 45\16 0 0
\13 0 0 \7 0 0 22\16 0 0 0 0 0 29\7 0 0 0 15\4 0 0 9\ 15\42 0 0 0 0 0 0 0 10\13 0 0 11\37 0 0 0 0 0 0 -
\3 0 0 12\17 0 0 0 0 0 30\24 0 0 0 38\10 0 0 0 0 27\6 0 0 0 7\16 0 0 16\36 0 0 0 0 0 0 0 0 \14 0 0 34\ -
- \6 0 0 34\6 0 0 29\41 0 0 0 0 0 0 0 12\38 0 0 0 0 0 0 0 0 22\4 0 0 \4 0 0 10\6 0 0 0 22\24 0 0 0 7\
- - \40 0 0 0 0 0 0 0 29\30 0 0 0 0 0 0 37\12 0 0 0 23\15 0 0 0 0 0 7\10 0 0 0 0 21\35 0 0 0 0 0 0
- - - 15\30 0 0 0 0 27\34 0 0 0 0 0 6\10 0 0 0 0 27\13 0 0 0 11\16 0 0 7\4 0 0 20\16 0 0 0 0 0 22\8 0 0 0
- - 34\12 0 0 30\25 0 0 0 0 0 11\6 0 0 0 28\38 0 0 0 0 0 0 14\21 0 0 0 0 0 36\3 0 0 37\35 0 0 0 0 0 0 0
- 23\37 0 0 0 0 0 0 0 17\38 0 0 0 0 0 0 4\6 0 0 0 26\10 0 0 0 0 10\37 0 0 0 0 0 0 0 0 40\21 0 0 0 -
\16 0 0 30\16 0 0 22\15 0 0 0 0 0 21\16 0 0 0 0 0 26\26 0 0 0 0 21\7 0 0 0 10\3 0 0 23\38 0 0 0 0 0 0 16\ -
\24 0 0 0 30\29 0 0 0 0 0 28\7 0 0 0 7\31 0 0 0 0 0 0 9\17 0 0 0 0 21\38 0 0 0 0 0 0 34\28 0 0 0 0 12\
\39 0 0 0 0 0 0 12\10 0 0 0 10\18 0 0 0 0 29\3 0 0 6\16 0 0 0 0 28\21 0 0 0 0 14\32 0 0 0 0 0 0 27\14 0 0
- \24 0 0 0 24\42 0 0 0 0 0 0 0 16\39 0 0 0 0 0 0 0 0 16\23 0 0 0 0 12\20 0 0 0 0 17\31 0 0 0 0 0 0
- - \34 0 0 0 0 0 \41 0 0 0 0 0 0 0 0 7\8 0 0 \24 0 0 0 0 \16 0 0 0 0 \30 0 0 0 0 17\7 0 0 0
- - - \21 0 0 0 - - \14 0 0 0 0 \15 0 0 0 0 - - \23 0 0 0 - \7 0 0 0 - \38 0 0 0 0 0 0 -
- - - - \8 0 0 - - - \7 0 0 - - \8 0 0 - - - - \5 0 0 - - \8 0 0 - - \23 0 0 0 0 - -
