16 16
- - - - - - - - - 6\ 24\ - 11\ 7\ - -
- - 41\ 17\ - - - - \11 0 0 \3 0 0 10\ 12\
- \17 0 0 - 12\ 7\ - 11\9 0 0 36\11 0 0 0 0
- 3\11 0 0 \15 0 0 16\25 0 0 0 0 0 5\8 0 0
\10 0 0 - \19 0 0 0 0 - 14\16 0 0 0 0 0
\7 0 0 7\ - - 10\3 0 0 \14 0 0 \6 0 0 -
- \5 0 0 18\ 30\9 0 0 - \6 0 0 21\ - 43\ 11\
- 10\25 0 0 0 0 0 - - - \7 0 0 \16 0 0
\16 0 0 \3 0 0 - - - - 9\16 0 0 7\3 0 0
\6 0 0 \16 0 0 10\ - - 24\31 0 0 0 0 0 -
- - 22\ 3\ \3 0 0 - 6\17 0 0 - \4 0 0 17\
- 24\5 0 0 20\13 0 0 \11 0 0 4\ 14\ - \15 0 0
\26 0 0 0 0 0 19\ 12\20 0 0 0 0 - 3\13 0 0
\11 0 0 8\23 0 0 0 0 0 \7 0 0 \9 0 0 -
\19 0 0 0 0 \17 0 0 - - - - \6 0 0 -
- - \15 0 0 \6 0 0 - - - - - - - -
