12 12
- - - 1 - - - 2 - - 3 -
- - - - - - - - - - - -
- - - - - - - - - 2 - -
- - - - - 2 - - - - - -
- - - - - - - - 3 - - -
- - - - 3 - - - - - - -
- 1 - - - - - - - - - -
- - 1 - 1 2 - - - - - -
- - - - - - - - - - - -
- - - - - - - - - 2 - -
- 3 - - - - - - - - - -
- - - 1 - - - - - - - -
1 2 2 2 3 4 4 4 5 6 7 8
1 9 9 9 3 10 10 10 5 6 7 8
1 11 11 11 3 12 13 14 5 6 7 8
15 15 15 16 17 12 13 14 18 18 18 19
20 21 22 16 17 12 13 14 23 24 25 19
20 21 22 16 17 26 27 28 23 24 25 19
20 21 22 29 30 26 27 28 23 24 25 31
32 32 32 29 30 26 27 28 33 34 35 31
36 36 36 29 30 37 37 37 33 34 35 31
38 39 39 39 40 40 40 41 33 34 35 42
38 43 43 43 44 44 44 41 45 45 45 42
38 46 46 46 47 47 47 41 48 48 48 42
