15 15
1 1 1 1 1 1 1 1 1 6\ 24\ 1 11\ 7\ 1 1
1 1 41\ 17\ 1 1 1 1 \11 0 0 \3 0 0 10\ 12\
1 \17 0 0 1 12\ 7\ 1 11\9 0 0 36\11 0 0 0 0
1 3\11 0 0 \15 0 0 16\25 0 0 0 0 0 5\8 0 0
\10 0 0 1 \19 0 0 0 0 1 14\16 0 0 0 0 0
\7 0 0 7\ 1 1 10\3 0 0 \14 0 0 \6 0 0 1
1 \5 0 0 18\ 30\9 0 0 1 \6 0 0 21\ 1 43\ 11\
1 10\25 0 0 0 0 0 1 1 1 \7 0 0 \16 0 0
\16 0 0 \3 0 0 1 1 1 1 9\16 0 0 7\3 0 0
\6 0 0 \16 0 0 10\ 1 1 24\31 0 0 0 0 0 1
1 1 22\ 3\ \3 0 0 1 6\17 0 0 1 \4 0 0 17\
1 24\5 0 0 20\13 0 0 \11 0 0 4\ 14\ 1 \15 0 0
\26 0 0 0 0 0 19\ 12\20 0 0 0 0 1 3\13 0 0
\11 0 0 8\23 0 0 0 0 0 \7 0 0 \9 0 0 1
\19 0 0 0 0 \17 0 0 1 1 1 1 \6 0 0 1
1 1 \15 0 0 \6 0 0 1 1 1 1 1 1 1 1
